alpha,CL,CD,CDp,Cm,Top,Xtr,Bot,Xtr,Cpmin
-4.5,0.0567,0.00771,0.00196,-0.1213,0.5865,0.0233,-1.8796,0,2.4345
-4.25,0.0844,0.00743,0.00179,-0.1213,0.5762,0.0464,-1.7302,0,1.7166
-4,0.1118,0.00729,0.00166,-0.1213,0.5604,0.0684,-1.5819,0,1.3547
-3.75,0.1397,0.00709,0.00154,-0.1213,0.545,0.0967,-1.4354,0,1.1324
-3.5,0.1684,0.00686,0.00143,-0.1215,0.5409,0.1282,-1.2909,0,0.9822
-3.25,0.1968,0.00672,0.00136,-0.1216,0.5341,0.156,-1.1504,0,0.8757
-3,0.225,0.00664,0.0013,-0.1216,0.5243,0.1748,-1.0144,0,0.7966
-2.75,0.253,0.00656,0.00126,-0.1216,0.5121,0.2034,-0.8831,0,0.7353
-2.5,0.2815,0.00656,0.00123,-0.1217,0.4985,0.2108,-0.7733,0,0.6854
-2.25,0.3113,0.00688,0.00127,-0.1216,0.4948,0.1479,-0.8001,0,0.6428
-2,0.3401,0.00672,0.00121,-0.1218,0.4919,0.1787,-0.8263,0,0.6094
-1.75,0.3687,0.00659,0.00117,-0.1219,0.4865,0.2103,-0.8525,0,0.5813
-1.5,0.3969,0.00659,0.00117,-0.1219,0.4772,0.2299,-0.8785,0,0.5572
-1.25,0.4248,0.00658,0.00117,-0.1219,0.4643,0.2512,-0.9044,0,0.5364
-1,0.4532,0.00661,0.00118,-0.1219,0.4507,0.2631,-0.9308,0,0.518
-0.75,0.482,0.0065,0.00119,-0.1221,0.4466,0.2942,-0.9576,0,0.5018
-0.5,0.5111,0.00648,0.0012,-0.1223,0.445,0.3025,-0.9847,0,0.4873
-0.25,0.54,0.00645,0.00122,-0.1224,0.4422,0.3202,-1.012,0,0.4743
0,0.5686,0.00637,0.00125,-0.1226,0.4375,0.344,-1.0425,0,0.4628
0.25,0.5969,0.00642,0.00128,-0.1226,0.4307,0.3506,-1.0731,0,0.4522
0.5,0.6249,0.0065,0.00132,-0.1225,0.4226,0.3583,-1.1035,0,0.4426
0.75,0.6531,0.00655,0.00137,-0.1225,0.4124,0.401,-1.1341,0,0.4338
1,0.6813,0.00655,0.00145,-0.1226,0.4019,0.4378,-1.1649,0,0.4258
1.25,0.7101,0.00656,0.00151,-0.1227,0.3989,0.4496,-1.1964,0,0.4184
1.5,0.739,0.00659,0.00154,-0.1228,0.3974,0.4542,-1.2282,0,0.4115
1.75,0.7677,0.00664,0.00158,-0.1229,0.3949,0.4566,-1.2599,0,0.4051
2,0.7961,0.0067,0.00163,-0.1229,0.391,0.4583,-1.2916,0,0.3991
2.25,0.8241,0.00678,0.00168,-0.1229,0.3849,0.4649,-1.3231,0,0.3935
2.5,0.8517,0.00687,0.00176,-0.1228,0.3774,0.485,-1.3561,0,0.3883
2.75,0.8793,0.00694,0.00184,-0.1228,0.3681,0.5034,-1.3917,0,0.3835
3,0.907,0.00703,0.00192,-0.1227,0.3581,0.5127,-1.4276,0,0.3788
3.25,0.9352,0.00709,0.002,-0.1227,0.3531,0.5284,-1.464,0,0.3745
3.5,0.9637,0.00709,0.00207,-0.1229,0.3523,0.5489,-1.501,0,0.3704
3.75,0.992,0.00712,0.00215,-0.1229,0.3509,0.5627,-1.5381,0,0.3665
4,1.0201,0.00719,0.00222,-0.1229,0.3479,0.5693,-1.5752,0,0.3628
4.25,1.0476,0.00728,0.00231,-0.1229,0.3422,0.5915,-1.612,0,0.3593
4.5,1.0744,0.00738,0.00247,-0.1227,0.3349,0.6142,-1.6483,0,0.3559
4.75,1.1008,0.00755,0.00259,-0.1225,0.3239,0.6254,-1.6844,0,0.3526
5,1.1274,0.00768,0.00272,-0.1223,0.308,0.6538,-1.7222,0,0.3495
5.25,1.154,0.00781,0.00285,-0.1221,0.2995,0.6725,-1.7641,0,0.3465
5.5,1.1779,0.00814,0.00305,-0.1215,0.2802,0.6868,-1.8036,0,0.3435
5.75,1.2042,0.00826,0.0032,-0.1212,0.2666,0.7154,-1.8511,0,0.3408
6,1.2311,0.00836,0.00333,-0.1211,0.2634,0.7323,-1.9,0,0.3381
6.25,1.2562,0.00855,0.00352,-0.1206,0.2534,0.7655,-1.9473,0,0.3355
6.5,1.2786,0.00893,0.00379,-0.1198,0.2285,0.7919,-1.9989,0,0.3328
6.75,1.3036,0.00907,0.00398,-0.1193,0.2212,0.8286,-2.0543,0,0.3302
7,1.3232,0.00944,0.00432,-0.1179,0.202,0.8834,-2.112,0,0.3275
7.25,1.3434,0.00955,0.00452,-0.1164,0.187,1,-2.171,0,0.3246
7.5,1.3629,0.01014,0.00493,-0.1151,0.1649,1,-2.2289,0,0.3221
7.75,1.3854,0.0105,0.00522,-0.1143,0.1494,1,-2.2918,0,0.3198
8,1.4239,0.00985,0.00494,-0.116,0.1922,1,-2.378,0,0.3184
8.25,1.4495,0.01001,0.00511,-0.1157,0.1891,1,-2.4579,0,0.3163
8.5,1.4741,0.01022,0.00531,-0.1152,0.1851,1,-2.5383,0,0.3143
8.75,1.494,0.01071,0.00568,-0.114,0.1709,1,-2.6115,0,0.312
9,1.5145,0.01114,0.00602,-0.1129,0.154,1,-2.7005,0,0.3099
9.25,1.5336,0.01162,0.00641,-0.1115,0.1424,1,-2.7889,0,0.3077
9.5,1.5507,0.01218,0.00686,-0.1098,0.1237,1,-2.874,0,0.3054
9.75,1.5661,0.01271,0.00731,-0.1078,0.1126,1,-2.9569,0,0.303
10,1.5779,0.01332,0.00781,-0.1052,0.0959,1,-3.033,0,0.3004
10.5,1.6033,0.01446,0.00882,-0.1003,0.0791,1,-3.2024,0,0.2955
10.75,1.6181,0.01496,0.00929,-0.0984,0.0696,1,-3.3061,0,0.2933
11,1.6305,0.01553,0.00984,-0.0961,0.0643,1,-3.405,0,0.291
11.25,1.6376,0.0164,0.01062,-0.0931,0.0542,1,-3.4906,0,0.2885
11.5,1.6497,0.01703,0.01123,-0.091,0.0476,1,-3.5901,0,0.2864
11.75,1.6412,0.01867,0.01278,-0.0862,0.0292,1,-3.6565,0,0.2833
