alpha,CL,CD,CDp,Cm,Top,Xtr,Bot,Xtr,Cpmin
-9.75,-0.7043,0.01602,0.01133,-0.0761,0.8052,0.0168,-4.6804,0,0.1266
-9.5,-0.6889,0.015,0.01018,-0.0745,0.802,0.016,-4.6023,0,0.1268
-9.25,-0.6703,0.01435,0.00946,-0.0733,0.7986,0.0155,-4.4783,0,0.1258
-9,-0.6501,0.01383,0.00887,-0.0723,0.7949,0.0152,-4.343,0,0.1241
-8.75,-0.629,0.01337,0.00836,-0.0715,0.7904,0.0149,-4.202,0,0.1219
-8.5,-0.6071,0.01296,0.00789,-0.0707,0.7854,0.0146,-4.058,0,0.1192
-8.25,-0.5843,0.01255,0.00745,-0.0701,0.7841,0.0144,-3.9125,0,0.1159
-8,-0.5611,0.01215,0.00703,-0.0695,0.7828,0.0142,-3.7678,0,0.1121
-7.75,-0.5376,0.01176,0.0066,-0.0689,0.781,0.014,-3.6257,0,0.1078
-7.5,-0.5137,0.0114,0.00621,-0.0684,0.7789,0.0138,-3.4826,0,0.1029
-7.25,-0.4896,0.01104,0.00582,-0.0679,0.7764,0.0137,-3.3415,0,0.0974
-7,-0.4654,0.0107,0.00544,-0.0674,0.7736,0.0136,-3.203,0,0.0913
-6.75,-0.4409,0.01037,0.00506,-0.0669,0.7708,0.0134,-3.0672,0,0.0843
-6.5,-0.4163,0.01005,0.00469,-0.0664,0.7676,0.0133,-2.9348,0,0.0764
-6.25,-0.3914,0.00974,0.00433,-0.066,0.7637,0.0133,-2.8059,0,0.0673
-5.75,-0.3435,0.00884,0.00326,-0.0645,0.7589,0.0221,-2.6728,0,0.0477
-5.5,-0.3162,0.00867,0.00311,-0.0645,0.7579,0.0241,-2.5154,0,0.0312
-5.25,-0.2885,0.00854,0.00299,-0.0646,0.7567,0.0249,-2.3582,0,0.011
-5,-0.2606,0.00841,0.00287,-0.0646,0.7551,0.0252,-2.2031,0,-0.0138
-4.75,-0.2331,0.00824,0.00272,-0.0646,0.7533,0.032,-2.0587,0,-0.0436
-4.5,-0.2073,0.00795,0.00254,-0.0643,0.751,0.0443,-1.9191,0,-0.0778
-4.25,-0.1796,0.00781,0.00242,-0.0644,0.7483,0.0496,-1.7765,0,-0.1269
-4,-0.1515,0.00772,0.00233,-0.0644,0.7455,0.0508,-1.6356,0,-0.1959
-3.75,-0.1234,0.00764,0.00224,-0.0645,0.7423,0.0573,-1.4991,0,-0.296
-3.5,-0.0955,0.00754,0.00216,-0.0646,0.7389,0.0649,-1.3662,0,-0.4537
-3.25,-0.0676,0.00743,0.00208,-0.0646,0.7353,0.0718,-1.237,0,-0.741
-3,-0.0406,0.0072,0.00197,-0.0646,0.7339,0.0986,-1.1134,0,-1.394
-2.75,-0.0133,0.00698,0.00185,-0.0646,0.7328,0.1259,-0.9929,0,-4.762
-2.5,0.0145,0.00679,0.00175,-0.0646,0.7311,0.1492,-0.8741,0,4.8311
-2.25,0.0402,0.00642,0.0016,-0.0644,0.7284,0.1966,-0.786,0,1.8905
-2,0.0667,0.00613,0.00148,-0.0643,0.7251,0.2475,-0.7022,0,1.2325
-1.75,0.0919,0.00573,0.00134,-0.0639,0.7211,0.3312,-0.6228,0,0.9579
-1.5,0.1145,0.00514,0.00115,-0.0632,0.7151,0.4589,-0.5677,0,0.8099
-1.25,0.1404,0.00482,0.00107,-0.063,0.7086,0.5518,-0.5572,0,0.7034
-1,0.1694,0.0047,0.00105,-0.0632,0.7063,0.5828,-0.569,0,0.6257
-0.75,0.1988,0.00464,0.00105,-0.0635,0.7021,0.6016,-0.581,0,0.5705
-0.5,0.2282,0.00465,0.00104,-0.0638,0.6943,0.6103,-0.5931,0,0.5293
-0.25,0.2572,0.00466,0.00105,-0.064,0.6875,0.6242,-0.6082,0,0.4977
0,0.287,0.00469,0.00107,-0.0644,0.6833,0.6311,-0.6315,0,0.4724
0.25,0.3171,0.00469,0.00108,-0.0648,0.6813,0.6362,-0.6599,0,0.4519
0.5,0.3469,0.00468,0.00111,-0.0652,0.6781,0.6441,-0.6979,0,0.4349
0.75,0.3767,0.00469,0.00113,-0.0655,0.6733,0.6499,-0.7361,0,0.4205
1,0.4055,0.00478,0.00115,-0.0657,0.6596,0.6531,-0.7741,0,0.4082
1.25,0.435,0.00483,0.00117,-0.066,0.6477,0.6559,-0.8215,0,0.3975
1.5,0.4637,0.00495,0.00121,-0.0662,0.6324,0.6579,-0.8762,0,0.3882
1.75,0.4926,0.00501,0.00125,-0.0664,0.6169,0.6617,-0.932,0,0.3799
2,0.5195,0.00519,0.00134,-0.0663,0.587,0.6704,-0.9864,0,0.3724
2.5,0.5686,0.00601,0.00171,-0.0653,0.4715,0.6801,-1.092,0,0.359
2.75,0.5934,0.00639,0.0019,-0.0649,0.427,0.6819,-1.1493,0,0.3532
3,0.6195,0.00668,0.00205,-0.0647,0.3923,0.6828,-1.213,0,0.348
3.25,0.6439,0.00707,0.00224,-0.0643,0.3486,0.6833,-1.2753,0,0.3431
3.5,0.668,0.00744,0.00244,-0.0638,0.3096,0.685,-1.3379,0,0.3384
3.75,0.6942,0.00766,0.00258,-0.0636,0.2881,0.6876,-1.4041,0,0.3343
4,0.7186,0.00799,0.00277,-0.0632,0.2528,0.6902,-1.4685,0,0.3303
4.25,0.7445,0.00822,0.00293,-0.063,0.238,0.6931,-1.536,0,0.3267
4.5,0.7688,0.00854,0.00312,-0.0626,0.2119,0.6956,-1.6019,0,0.3232
4.75,0.7951,0.00874,0.00328,-0.0624,0.1966,0.6977,-1.6714,0,0.32
5,0.8176,0.00916,0.00355,-0.0617,0.1754,0.6994,-1.7362,0,0.3167
5.25,0.8419,0.00945,0.00375,-0.0612,0.1633,0.7011,-1.8044,0,0.3137
5.5,0.8671,0.00969,0.00393,-0.0609,0.1511,0.7026,-1.8746,0,0.3109
5.75,0.8927,0.00989,0.00412,-0.0607,0.1447,0.704,-1.9456,0,0.3083
6,0.9166,0.01017,0.00433,-0.0602,0.1343,0.7053,-2.0154,0,0.3057
6.25,0.9417,0.01038,0.00451,-0.0598,0.126,0.7065,-2.0877,0,0.3033
6.5,0.9665,0.01059,0.00469,-0.0595,0.1217,0.7075,-2.1605,0,0.301
6.75,0.9862,0.01092,0.00494,-0.0582,0.1112,0.7083,-2.2264,0,0.2981
7,1.0068,0.0112,0.00518,-0.0571,0.1002,0.7098,-2.2939,0,0.2955
7.25,1.0291,0.01148,0.00544,-0.0563,0.095,0.7135,-2.3886,0,0.2932
7.5,1.0505,0.01183,0.00574,-0.0555,0.0894,0.7171,-2.4893,0,0.2909
7.75,1.0722,0.01218,0.00606,-0.0547,0.0814,0.7202,-2.5914,0,0.2888
8.25,1.1185,0.01275,0.00665,-0.0537,0.0759,0.7255,-2.8067,0,0.285
