alpha,CL,CD,CDp,Cm,Top,Xtr,Bot,Xtr,Cpmin
-10,-0.6405,0.01286,0.00803,-0.0632,0.9143,0.0285,-4.8487,0,0.1367
-9.75,-0.615,0.01279,0.00794,-0.0625,0.8996,0.0286,-4.6766,0,0.1338
-9.25,-0.5672,0.01266,0.00773,-0.0604,0.8661,0.0287,-4.351,0,0.129
-9,-0.5501,0.01196,0.00687,-0.0582,0.8486,0.0293,-4.2383,0,0.1297
-8.75,-0.5323,0.01147,0.00624,-0.0561,0.8286,0.0299,-4.1188,0,0.1302
-8.5,-0.5122,0.01109,0.00577,-0.0544,0.8121,0.0304,-3.99,0,0.1295
-8.25,-0.4924,0.01081,0.00537,-0.0525,0.7926,0.0309,-3.8611,0,0.129
-8,-0.4718,0.01056,0.00503,-0.0508,0.7711,0.0314,-3.7305,0,0.1279
-7.75,-0.4506,0.01034,0.00469,-0.0492,0.7499,0.032,-3.6013,0,0.1264
-7.5,-0.4295,0.01018,0.00442,-0.0475,0.7259,0.0326,-3.4708,0,0.1248
-7.25,-0.4071,0.01001,0.00417,-0.0462,0.7063,0.0332,-3.3382,0,0.122
-7,-0.3844,0.00986,0.00394,-0.0448,0.6879,0.034,-3.2061,0,0.1186
-6.75,-0.3616,0.00974,0.00375,-0.0435,0.668,0.035,-3.0749,0,0.1147
-6.5,-0.3379,0.00961,0.00358,-0.0424,0.6505,0.0362,-2.9425,0,0.1093
-6.25,-0.3145,0.00953,0.00345,-0.0412,0.6305,0.0377,-2.8119,0,0.1034
-6,-0.2899,0.00946,0.00334,-0.0402,0.6133,0.0395,-2.6793,0,0.0951
-5.75,-0.2653,0.00944,0.00327,-0.0393,0.5938,0.0407,-2.5468,0,0.0852
-5.5,-0.2398,0.00943,0.00322,-0.0385,0.5763,0.0413,-2.4135,0,0.0718
-5.25,-0.2144,0.00945,0.00319,-0.0378,0.5581,0.0416,-2.2823,0,0.0556
-5,-0.1888,0.00947,0.00316,-0.037,0.5395,0.0418,-2.1578,0,0.0343
-4.75,-0.1658,0.00932,0.00292,-0.0358,0.5227,0.044,-2.0707,0,0.0132
-4.5,-0.1422,0.00925,0.00274,-0.0346,0.501,0.0462,-1.9826,0,-0.0163
-4.25,-0.118,0.00921,0.00263,-0.0336,0.4824,0.0485,-1.8889,0,-0.0603
-4,-0.0935,0.00919,0.00257,-0.0327,0.4626,0.0509,-1.7933,0,-0.1295
-3.75,-0.0682,0.00915,0.00251,-0.0319,0.4498,0.0531,-1.697,0,-0.2559
-3.5,-0.0436,0.00918,0.00246,-0.031,0.4296,0.0549,-1.6039,0,-0.5157
-3.25,-0.0173,0.00916,0.00242,-0.0304,0.4201,0.0561,-1.509,0,-1.6252
-3,0.0083,0.00918,0.00239,-0.0297,0.4071,0.0567,-1.416,0,4.0618
-2.5,0.0583,0.00909,0.00224,-0.0281,0.3832,0.0668,-1.2436,0,0.7557
-2.25,0.0839,0.00907,0.00221,-0.0274,0.3744,0.0702,-1.1561,0,0.5902
-1.75,0.1352,0.00913,0.00217,-0.026,0.3503,0.0745,-0.9853,0,0.4476
-1.5,0.1611,0.00905,0.00213,-0.0254,0.3473,0.084,-0.9347,0,0.4103
-1.25,0.1872,0.00902,0.00211,-0.0248,0.3425,0.0897,-0.9646,0,0.3835
-1,0.2128,0.00903,0.0021,-0.0242,0.3356,0.0973,-0.9944,0,0.363
-0.75,0.2375,0.00904,0.0021,-0.0234,0.3259,0.1098,-1.0236,0,0.3468
-0.5,0.2623,0.00901,0.0021,-0.0226,0.3155,0.1296,-1.0527,0,0.3335
-0.25,0.2866,0.00885,0.00207,-0.0217,0.3132,0.1742,-1.0818,0,0.3224
0,0.2951,0.00784,0.0019,-0.018,0.3123,0.4417,-1.1021,0,0.307
0.25,0.315,0.00752,0.00189,-0.0163,0.3106,0.535,-1.1327,0,0.2971
0.5,0.3364,0.00732,0.0019,-0.0148,0.3082,0.6,-1.1646,0,0.2888
0.75,0.3592,0.00722,0.00192,-0.0136,0.305,0.6457,-1.1978,0,0.2821
1,0.382,0.00716,0.00196,-0.0123,0.3012,0.6867,-1.2311,0,0.2761
1.25,0.4042,0.00712,0.00201,-0.011,0.2968,0.7277,-1.264,0,0.2704
1.75,0.4496,0.00712,0.00213,-0.0084,0.2853,0.7916,-1.3308,0,0.2612
