alpha,CL,CD,CDp,Cm,Top,Xtr,Bot,Xtr,Cpmin
-10,-0.6677,0.0108,0.00595,-0.0588,0.8629,0.0283,-5.0159,0,0.1478
-9.75,-0.6444,0.01073,0.00584,-0.0576,0.8468,0.0283,-4.8496,0,0.1466
-9.5,-0.622,0.01068,0.00572,-0.0561,0.8264,0.0284,-4.6885,0,0.1457
-9.25,-0.5978,0.01059,0.00561,-0.0551,0.8112,0.0285,-4.5243,0,0.1438
-9,-0.5748,0.01053,0.00549,-0.0538,0.7923,0.0285,-4.3664,0,0.1424
-8.75,-0.5513,0.01046,0.00536,-0.0526,0.7733,0.0286,-4.2097,0,0.1405
-8.5,-0.5279,0.01038,0.00523,-0.0515,0.7534,0.0286,-4.0556,0,0.1385
-8.25,-0.5053,0.01032,0.00509,-0.0501,0.7274,0.0286,-3.9067,0,0.1368
-8,-0.482,0.01025,0.00495,-0.0489,0.7046,0.0287,-3.7583,0,0.1344
-7.75,-0.4572,0.0102,0.00484,-0.048,0.6865,0.0287,-3.6077,0,0.1308
-7.5,-0.4348,0.01006,0.00461,-0.0466,0.6652,0.0288,-3.4701,0,0.1285
-7.25,-0.4134,0.00974,0.00419,-0.0451,0.65,0.0291,-3.3444,0,0.1265
-7,-0.392,0.00952,0.00386,-0.0435,0.6296,0.0294,-3.2186,0,0.1245
-6.75,-0.3691,0.00931,0.00356,-0.0423,0.6139,0.0298,-3.09,0,0.1208
-6.5,-0.3464,0.00915,0.0033,-0.0409,0.5951,0.0303,-2.9637,0,0.117
-6.25,-0.323,0.00898,0.00304,-0.0397,0.5778,0.0314,-2.8389,0,0.1119
-6,-0.3002,0.00879,0.00282,-0.0384,0.5618,0.0363,-2.72,0,0.1066
-5.75,-0.2758,0.00874,0.00274,-0.0374,0.5415,0.0391,-2.5882,0,0.0983
-5.5,-0.2501,0.00869,0.00268,-0.0367,0.5283,0.0405,-2.4542,0,0.0866
-5.25,-0.2251,0.00872,0.00263,-0.0358,0.5042,0.0411,-2.3239,0,0.0734
-5,-0.1991,0.00871,0.00258,-0.0352,0.4907,0.0415,-2.2047,0,0.0547
-4.75,-0.1742,0.00876,0.00255,-0.0343,0.4647,0.0416,-2.1002,0,0.0331
-4.5,-0.1481,0.00874,0.00249,-0.0337,0.4529,0.0417,-1.9973,0,0.0007
-4.25,-0.1229,0.00878,0.00245,-0.0329,0.4333,0.0418,-1.8957,0,-0.042
-4,-0.0976,0.00868,0.0023,-0.032,0.4224,0.0434,-1.8031,0,-0.1069
-3.75,-0.0726,0.00862,0.00219,-0.0312,0.4106,0.0462,-1.7127,0,-0.2142
-3.5,-0.0481,0.00859,0.00212,-0.0302,0.3929,0.0508,-1.6213,0,-0.4272
-3.25,-0.0219,0.00854,0.00209,-0.0296,0.3848,0.0542,-1.526,0,-1.1972
-3,0.0043,0.00853,0.00205,-0.029,0.3764,0.0559,-1.4318,0,7.4339
-2.75,0.0301,0.00857,0.00204,-0.0284,0.3647,0.0566,-1.3396,0,1.2472
-2.25,0.0826,0.00851,0.00195,-0.0272,0.3478,0.0638,-1.162,0,0.5933
-2,0.1088,0.00846,0.00192,-0.0266,0.3431,0.0687,-1.0749,0,0.5031
-1.75,0.1349,0.00846,0.00191,-0.026,0.3366,0.072,-0.9893,0,0.4479
-1.5,0.1609,0.0085,0.0019,-0.0254,0.3273,0.0734,-0.9352,0,0.4106
-1.25,0.1868,0.0085,0.00187,-0.0248,0.3161,0.0813,-0.9649,0,0.3836
-1,0.2134,0.00845,0.00186,-0.0243,0.3131,0.0883,-0.9954,0,0.3635
-0.75,0.2404,0.00843,0.00185,-0.0239,0.3117,0.0932,-1.0264,0,0.3479
-0.5,0.2667,0.00837,0.00184,-0.0234,0.3095,0.1073,-1.057,0,0.3352
-0.25,0.2926,0.00832,0.00184,-0.0228,0.3062,0.1259,-1.0875,0,0.3247
0,0.3176,0.00826,0.00184,-0.0221,0.3019,0.1557,-1.1206,0,0.3156
0.25,0.3279,0.00743,0.00171,-0.0187,0.2979,0.4003,-1.1436,0,0.3024
0.5,0.3472,0.00715,0.00169,-0.0169,0.2925,0.4971,-1.1738,0,0.2934
0.75,0.3688,0.00698,0.00171,-0.0155,0.286,0.562,-1.2059,0,0.2862
1,0.392,0.0069,0.00174,-0.0143,0.2806,0.6077,-1.2393,0,0.2804
1.25,0.4157,0.00682,0.00178,-0.0133,0.278,0.6499,-1.2734,0,0.2754
1.5,0.4395,0.00672,0.00181,-0.0123,0.2777,0.6917,-1.3081,0,0.2709
1.75,0.4638,0.00666,0.00185,-0.0113,0.2772,0.7252,-1.3432,0,0.267
2,0.4878,0.0066,0.00189,-0.0103,0.2766,0.7572,-1.3785,0,0.2634
2.25,0.5122,0.00657,0.00193,-0.0094,0.2753,0.7833,-1.4141,0,0.2602
2.5,0.537,0.00657,0.00198,-0.0086,0.273,0.8048,-1.4502,0,0.2575
2.75,0.5603,0.00656,0.00204,-0.0075,0.2698,0.8338,-1.4853,0,0.2544
3.25,0.6089,0.00667,0.00218,-0.0057,0.2615,0.8713,-1.5574,0,0.2497
3.5,0.6327,0.00673,0.00227,-0.0047,0.2561,0.8945,-1.5931,0,0.2475
3.75,0.6579,0.00681,0.00237,-0.004,0.2499,0.9128,-1.6348,0,0.2458
4,0.6837,0.00691,0.00247,-0.0035,0.2449,0.924,-1.678,0,0.2445
4.25,0.7115,0.00699,0.00257,-0.0034,0.2425,0.9327,-1.7236,0,0.2439
4.5,0.7397,0.00705,0.00265,-0.0034,0.2423,0.9409,-1.7699,0,0.2433
4.75,0.7681,0.00711,0.00274,-0.0035,0.242,0.9478,-1.8168,0,0.2429
5,0.7996,0.0072,0.00284,-0.0043,0.2415,0.9546,-1.8669,0,0.2434
5.25,0.8265,0.00727,0.00292,-0.004,0.2408,0.9619,-1.913,0,0.2426
5.5,0.8612,0.00737,0.00303,-0.0056,0.2393,0.9654,-1.9669,0,0.2438
5.75,0.8943,0.0075,0.00314,-0.0068,0.2367,0.9692,-2.0197,0,0.2446
6,0.9204,0.00763,0.00325,-0.0064,0.2334,0.9754,-2.0658,0,0.2437
6.25,0.9554,0.00782,0.00339,-0.0082,0.2289,0.9771,-2.1209,0,0.2449
6.5,0.9893,0.00803,0.00355,-0.0096,0.2234,0.9787,-2.175,0,0.2457
6.75,1.0223,0.00824,0.00371,-0.0109,0.2167,0.9805,-2.235,0,0.2463
7,1.054,0.00843,0.00389,-0.012,0.2109,0.9826,-2.2951,0,0.2466
