alpha,CL,CD,CDp,Cm,Top,Xtr,Bot,Xtr,Cpmin
-10,-0.7065,0.00914,0.00428,-0.0518,0.7727,0.0276,-5.2066,0,0.1631
-9.75,-0.6823,0.00904,0.00415,-0.0507,0.7573,0.0278,-5.0373,0,0.1621
-9.5,-0.6589,0.00898,0.00403,-0.0495,0.7368,0.0279,-4.8725,0,0.1614
-9.25,-0.6344,0.00889,0.0039,-0.0485,0.7201,0.028,-4.7065,0,0.1601
-9,-0.6111,0.00885,0.00378,-0.0473,0.6928,0.0281,-4.5463,0,0.1593
-8.75,-0.5872,0.0088,0.00366,-0.0462,0.6709,0.0282,-4.3866,0,0.1581
-8.5,-0.5623,0.00872,0.00354,-0.0452,0.6523,0.0283,-4.2263,0,0.1562
-8.25,-0.5379,0.00867,0.00343,-0.0442,0.6335,0.0283,-4.0697,0,0.1545
-8,-0.5127,0.00859,0.00332,-0.0434,0.6167,0.0284,-3.913,0,0.152
-7.75,-0.4877,0.00854,0.00321,-0.0425,0.6008,0.0284,-3.7596,0,0.1494
-7.5,-0.4625,0.00849,0.0031,-0.0416,0.5805,0.0285,-3.6081,0,0.1464
-7.25,-0.437,0.00842,0.00299,-0.0408,0.5681,0.0285,-3.4581,0,0.1429
-7,-0.4123,0.00838,0.00289,-0.0399,0.5448,0.0286,-3.3128,0,0.1394
-6.75,-0.3864,0.0083,0.00278,-0.0392,0.5356,0.0286,-3.1664,0,0.1345
-6.5,-0.3616,0.00827,0.00268,-0.0382,0.5163,0.0286,-3.0258,0,0.1299
-6.25,-0.3357,0.00821,0.00258,-0.0375,0.5014,0.0286,-2.8846,0,0.1236
-6,-0.3104,0.00817,0.00249,-0.0367,0.4861,0.0287,-2.7473,0,0.1168
-5.75,-0.2852,0.00815,0.0024,-0.0358,0.4636,0.0287,-2.6127,0,0.1088
-5.5,-0.2619,0.008,0.00221,-0.0346,0.4479,0.0362,-2.4954,0,0.102
-5.25,-0.237,0.00797,0.00214,-0.0337,0.4259,0.0389,-2.3653,0,0.0911
-5,-0.2106,0.00792,0.00209,-0.0331,0.4187,0.0403,-2.2478,0,0.0751
-4.75,-0.185,0.00793,0.00205,-0.0324,0.4034,0.0409,-2.1423,0,0.0562
-4.5,-0.1586,0.00792,0.002,-0.0318,0.3876,0.0413,-2.0371,0,0.029
-4.25,-0.1316,0.00788,0.00194,-0.0313,0.3821,0.0415,-1.9334,0,-0.0107
-4,-0.1055,0.00789,0.0019,-0.0307,0.3712,0.0416,-1.8316,0,-0.0671
-3.75,-0.0793,0.0079,0.00187,-0.03,0.357,0.0417,-1.7314,0,-0.1615
-3.5,-0.0522,0.00787,0.00183,-0.0296,0.3494,0.0418,-1.6314,0,-0.3624
-3,0.0007,0.00778,0.00172,-0.0284,0.3394,0.05,-1.4447,0,44.7531
-2.75,0.0265,0.00776,0.0017,-0.0278,0.3319,0.0543,-1.3524,0,1.3584
-2.5,0.0532,0.00775,0.00168,-0.0273,0.3227,0.056,-1.2602,0,0.7889
-2.25,0.0804,0.00774,0.00166,-0.0269,0.3138,0.0566,-1.1688,0,0.5988
-2,0.108,0.00772,0.00164,-0.0266,0.3125,0.0568,-1.0785,0,0.5044
-1.75,0.135,0.00768,0.00161,-0.0261,0.3102,0.0626,-0.992,0,0.4484
-1.5,0.1617,0.00765,0.00159,-0.0256,0.3068,0.0684,-0.9365,0,0.4111
-1.25,0.1883,0.00765,0.00158,-0.0252,0.302,0.072,-0.9669,0,0.3844
-1,0.215,0.00767,0.00158,-0.0247,0.2965,0.0734,-0.9975,0,0.3643
-0.75,0.2417,0.00768,0.00157,-0.0242,0.2903,0.0808,-1.0282,0,0.3486
-0.5,0.2683,0.00766,0.00157,-0.0238,0.2836,0.0881,-1.0589,0,0.3361
-0.25,0.2954,0.00765,0.00158,-0.0234,0.2785,0.0923,-1.0902,0,0.3259
0,0.3224,0.0076,0.00158,-0.023,0.2779,0.1071,-1.1249,0,0.3174
0.25,0.3491,0.00754,0.00158,-0.0226,0.2776,0.1263,-1.161,0,0.3102
0.5,0.3754,0.00746,0.00158,-0.0221,0.2771,0.1547,-1.1968,0,0.3038
0.75,0.3885,0.00673,0.00148,-0.0191,0.2767,0.3885,-1.2223,0,0.2937
1,0.4101,0.00647,0.00147,-0.0178,0.2759,0.4724,-1.2549,0,0.2873
