xb,top,bot
1.0,0.0,-0.0
0.998476,0.0004,-0.007945
0.993912,0.001593,-0.014204
0.986337,0.003561,-0.019013
0.975796,0.006275,-0.022659
0.962352,0.009693,-0.025451
0.946088,0.013766,-0.027683
0.927101,0.018438,-0.029614
0.905507,0.023647,-0.031449
0.881437,0.029327,-0.033341
0.855038,0.035407,-0.035398
0.826471,0.041816,-0.03768
0.79591,0.048483,-0.040189
0.763541,0.055332,-0.042838
0.729563,0.062289,-0.045409
0.694183,0.069276,-0.047524
0.657617,0.076213,-0.048902
0.620088,0.083019,-0.049564
0.581826,0.089608,-0.049559
0.543064,0.095892,-0.048942
0.504038,0.101781,-0.047775
0.464986,0.107185,-0.046123
0.426146,0.112012,-0.04405
0.387753,0.116177,-0.041621
0.350041,0.119596,-0.038896
0.313241,0.122196,-0.035938
0.277414,0.123911,-0.032802
0.241809,0.124465,-0.029545
0.2067,0.123323,-0.026221
0.172639,0.120072,-0.022885
0.140234,0.114489,-0.019589
0.110112,0.106576,-0.016387
0.082862,0.096555,-0.013333
0.058982,0.084837,-0.01048
0.038831,0.071963,-0.00788
0.022623,0.058529,-0.005582
0.01043,0.045117,-0.003631
0.002215,0.032233,-0.002069
-0.002139,0.020272,-0.000928
-0.002807,0.009491,-0.000233
0.0,-0.0,0.0
