alpha,CL,CD,CDp,Cm,Top,Xtr,Bot,Xtr,Cpmin
-6.75,-0.1808,0.01468,0.01039,-0.1251,0.7204,0.0358,-2.5059,0,-0.4683
-6.5,-0.1564,0.01435,0.01,-0.1248,0.7029,0.0384,-2.3535,0,-0.5763
-6.25,-0.1311,0.01374,0.00932,-0.1245,0.6892,0.0407,-2.2233,0,-0.7324
-6,-0.1052,0.01307,0.00856,-0.1243,0.6787,0.0428,-2.1065,0,-0.9699
-5.75,-0.0844,0.0095,0.00417,-0.1216,0.6651,0.0185,-2.4064,0,-1.2362
-5.5,-0.0577,0.00926,0.0038,-0.1213,0.6461,0.0173,-2.2733,0,-1.9143
-5.25,-0.0294,0.00899,0.00346,-0.1213,0.6401,0.0164,-2.1401,0,-3.9914
-5,-0.0012,0.00877,0.00316,-0.1213,0.6323,0.0158,-2.0049,0,-106.0528
-4.5,0.0541,0.0081,0.00213,-0.1207,0.605,0.029,-1.8844,0,2.5286
-4.25,0.0816,0.0077,0.00191,-0.1208,0.5939,0.0693,-1.7354,0,1.7591
-4,0.11,0.00743,0.00176,-0.1209,0.5893,0.0998,-1.5847,0,1.3693
-3.75,0.1381,0.0072,0.00163,-0.121,0.5806,0.133,-1.4381,0,1.1411
-3.5,0.1654,0.00705,0.00154,-0.121,0.5668,0.1661,-1.2966,0,0.992
-3.25,0.193,0.00697,0.00148,-0.1209,0.5479,0.1928,-1.1581,0,0.8845
-3,0.2219,0.00685,0.00143,-0.1211,0.5428,0.2121,-1.0203,0,0.8017
-2.75,0.2507,0.00678,0.00139,-0.1212,0.5375,0.2332,-0.8866,0,0.7379
-2.5,0.2791,0.00674,0.00137,-0.1212,0.5293,0.2472,-0.7719,0,0.6875
-2.25,0.3076,0.00698,0.00134,-0.121,0.5188,0.2065,-0.7978,0,0.6456
-2,0.3356,0.00694,0.00132,-0.121,0.505,0.2333,-0.8233,0,0.612
-1.75,0.3641,0.00688,0.00131,-0.1211,0.4957,0.2528,-0.8494,0,0.5832
-1.5,0.3932,0.00686,0.0013,-0.1212,0.4933,0.2649,-0.876,0,0.5583
