Zero,0,0,0,0,0
eHang 184,38,100,260,360,1
Astro,25,120,240,360,0
Davinci ZeroG,0,150,240,390,0
Volocopter VC200,0,150,450,600,1
Volocopter 2X,27,160,450,610,1
Joby S2,322,177,907,1084,0
VRCO,120,180,270,450,0
Workhorse Surefly,113,181,680,861,0
Airbus Vahana,100,200,815,1015,1
Archer Maker,60,200,1500,1700,1
Xpeng X2,60,200,360,560,1
Joby S4,246,381,1815,2196,1
Bartini Flying Car,150,400,1100,1500,0
Vimana,900,400,1050,1450,0
Vertical Aerospace vx4,161,450,2725,3175,1
Wigeon,400,475,2315,2790,0
Archer Midnight,155,500,2675,3175,0
Terrafugia TF-2 Lift+Push,400,500,3630,4130,0
Terrafugia TF-2 Tiltrotor,555,500,4080,4580,0
BETA Alia-250,460,680,2180,2860,1
Lilium Jet,300,700,2475,3175,1
Aurora Lightning strike,0,737,5900,6637,0
XTI Trifan,700,816,2404,3220,0
