xflr5 v6.59

Aetheria
T1-83.3 m/s-VLM1
QInf  =,   83.300000 ,m/s
Alpha = ,   3.100000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   0.432987
Cy    = ,   0.000000
Cd=,   0.012107,ICd=,    0.006955,PCd=,    0.005153
Cl   = ,-8.82067e-18
Cm   =,   -0.197281
ICn=,   -0.000000,PCn=,   -0.000000
XCP=,    0.557443, YCP=,   -0.000000, ZCP=,    0.016093 
XNP=,    0.000000
Bending =,    0.000000

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
   -4.8365,   0.6605, -1.976, 0.116368, 0.005609, 0.006989,-0.093664,-0.020896, 0.5757, 0.2452, 0.4292, 0.0000
   -4.8067,   0.6666, -1.833, 0.179646, 0.005523, 0.006258,-0.138305,-0.026886, 0.5412, 0.2998, 0.3989, 0.1415
   -4.7473,   0.6788, -1.650, 0.245692, 0.005424, 0.007211,-0.183809,-0.034219, 0.5070, 0.3673, 0.3885, 1.7391
   -4.6585,   0.6969, -1.450, 0.302849, 0.005296, 0.007710,-0.219678,-0.040133, 0.4787, 0.4451, 0.3818, 8.6611
   -4.5411,   0.7208, -1.260, 0.349160, 0.005204, 0.007695,-0.244499,-0.044425, 0.4559, 0.5063, 0.3765,28.4006
   -4.3957,   0.7505, -1.097, 0.385002, 0.005146, 0.007374,-0.259225,-0.047373, 0.4370, 0.5506, 0.3723,72.7642
   -4.2231,   0.7858, -0.966, 0.411713, 0.005107, 0.006943,-0.265705,-0.049338, 0.4217, 0.5769, 0.3691,158.2088
   -4.0245,   0.8263, -0.869, 0.430912, 0.005095, 0.006532,-0.265950,-0.050629, 0.4079, 0.5890, 0.3668,305.8951
   -3.8011,   0.8719, -0.801, 0.444135, 0.005088, 0.006207,-0.261766,-0.051470, 0.3959, 0.5901, 0.3652,541.5075
   -3.5543,   0.9223, -0.759, 0.452688, 0.005091, 0.005992,-0.254622,-0.052009, 0.3859, 0.5855, 0.3642,894.8659
   -3.2856,   0.9772, -0.738, 0.457602, 0.005099, 0.005889,-0.245636,-0.052345, 0.3780, 0.5788, 0.3637,1399.3329
   -2.9966,   1.0362, -0.734, 0.459660, 0.005108, 0.005887,-0.235622,-0.052538, 0.3709, 0.5673, 0.3636,2091.0081
   -2.6891,   1.0990, -0.745, 0.459431, 0.005118, 0.005974,-0.225146,-0.052626, 0.3649, 0.5519, 0.3638,3007.7018
   -2.3651,   1.1651, -0.769, 0.457312, 0.005127, 0.006136,-0.214584,-0.052631, 0.3595, 0.5330, 0.3644,4187.6897
   -2.0264,   1.2343, -0.804, 0.453562, 0.005138, 0.006365,-0.204173,-0.052564, 0.3548, 0.5111, 0.3652,5668.2614
   -1.6753,   1.3060, -0.850, 0.448328, 0.005145, 0.006653,-0.194040,-0.052425, 0.3517, 0.4890, 0.3662,7484.0903
   -1.3138,   1.3798, -0.908, 0.441656, 0.005153, 0.006999,-0.184233,-0.052203, 0.3497, 0.4656, 0.3675,9665.4709
   -0.9443,   1.4552, -0.980, 0.433486, 0.005163, 0.007411,-0.174723,-0.051871, 0.3489, 0.4399, 0.3689,12236.4747
   -0.5689,   1.5318, -1.072, 0.423603, 0.005169, 0.007928,-0.165385,-0.051354, 0.3500, 0.4156, 0.3705,15213.0848
   -0.1900,   1.6092, -1.213, 0.411392, 0.005175, 0.008729,-0.155836,-0.050429, 0.3515, 0.3911, 0.3719,18601.3352
    0.1900,   1.6092, -1.213, 0.411392, 0.005175, 0.008729,-0.155836,-0.050429, 0.3515, 0.3911, 0.3719,18601.3351
    0.5689,   1.5318, -1.072, 0.423603, 0.005169, 0.007928,-0.165385,-0.051354, 0.3500, 0.4156, 0.3705,15213.0847
    0.9443,   1.4552, -0.980, 0.433486, 0.005163, 0.007411,-0.174723,-0.051871, 0.3489, 0.4399, 0.3689,12236.4746
    1.3138,   1.3798, -0.908, 0.441656, 0.005153, 0.006999,-0.184233,-0.052203, 0.3497, 0.4656, 0.3675,9665.4708
    1.6753,   1.3060, -0.850, 0.448328, 0.005145, 0.006653,-0.194040,-0.052425, 0.3517, 0.4890, 0.3662,7484.0902
    2.0264,   1.2343, -0.804, 0.453562, 0.005138, 0.006365,-0.204173,-0.052564, 0.3548, 0.5111, 0.3652,5668.2613
    2.3651,   1.1651, -0.769, 0.457312, 0.005127, 0.006136,-0.214584,-0.052631, 0.3595, 0.5330, 0.3644,4187.6897
    2.6891,   1.0990, -0.745, 0.459431, 0.005118, 0.005974,-0.225146,-0.052626, 0.3649, 0.5519, 0.3638,3007.7017
    2.9966,   1.0362, -0.734, 0.459660, 0.005108, 0.005887,-0.235622,-0.052538, 0.3709, 0.5673, 0.3636,2091.0080
    3.2856,   0.9772, -0.738, 0.457602, 0.005099, 0.005889,-0.245636,-0.052345, 0.3780, 0.5788, 0.3637,1399.3329
    3.5543,   0.9223, -0.759, 0.452688, 0.005091, 0.005992,-0.254622,-0.052009, 0.3859, 0.5855, 0.3642,894.8659
    3.8011,   0.8719, -0.801, 0.444135, 0.005088, 0.006207,-0.261766,-0.051470, 0.3959, 0.5901, 0.3652,541.5075
    4.0245,   0.8263, -0.869, 0.430912, 0.005095, 0.006532,-0.265950,-0.050629, 0.4079, 0.5890, 0.3668,305.8951
    4.2231,   0.7858, -0.966, 0.411713, 0.005107, 0.006943,-0.265705,-0.049338, 0.4217, 0.5769, 0.3691,158.2088
    4.3957,   0.7505, -1.097, 0.385002, 0.005146, 0.007374,-0.259225,-0.047373, 0.4370, 0.5506, 0.3723,72.7642
    4.5411,   0.7208, -1.260, 0.349160, 0.005204, 0.007695,-0.244499,-0.044425, 0.4559, 0.5063, 0.3765,28.4006
    4.6585,   0.6969, -1.450, 0.302849, 0.005296, 0.007710,-0.219678,-0.040133, 0.4787, 0.4451, 0.3818, 8.6610
    4.7473,   0.6788, -1.650, 0.245692, 0.005424, 0.007211,-0.183809,-0.034219, 0.5070, 0.3673, 0.3885, 1.7391
    4.8067,   0.6666, -1.833, 0.179646, 0.005523, 0.006258,-0.138305,-0.026886, 0.5412, 0.2998, 0.3989, 0.1415
    4.8365,   0.6605, -1.976, 0.116368, 0.005609, 0.006989,-0.093664,-0.020896, 0.5757, 0.2452, 0.4292, 0.0000


Main Wing Cp Coefficients
Panel,CtrlPt.x,CtrlPt.y,CtrlPt.z,Nx,Ny,Nz,Area,Cp
Main WingCp Coefficients
Strip 1
   0,   9.071e-01,  -4.837e+00,   6.739e-05,       0.066,      -0.010,       0.998,   6.085e-05,      0.0686
   1,   9.011e-01,  -4.837e+00,   4.659e-04,       0.065,      -0.010,       0.998,   1.810e-04,      0.0967
   2,   8.870e-01,  -4.837e+00,   1.364e-03,       0.062,      -0.010,       0.998,   2.967e-04,      0.1075
   3,   8.654e-01,  -4.837e+00,   2.685e-03,       0.058,      -0.009,       0.998,   4.050e-04,      0.1082
   4,   8.367e-01,  -4.837e+00,   4.318e-03,       0.053,      -0.008,       0.999,   5.033e-04,      0.1044
   5,   8.016e-01,  -4.837e+00,   6.125e-03,       0.047,      -0.008,       0.999,   5.891e-04,      0.0976
   6,   7.610e-01,  -4.837e+00,   7.958e-03,       0.040,      -0.007,       0.999,   6.604e-04,      0.0903
   7,   7.158e-01,  -4.837e+00,   9.672e-03,       0.032,      -0.006,       0.999,   7.153e-04,      0.0849
   8,   6.673e-01,  -4.837e+00,   1.113e-02,       0.024,      -0.005,       1.000,   7.527e-04,      0.0846
   9,   6.166e-01,  -4.837e+00,   1.224e-02,       0.015,      -0.005,       1.000,   7.716e-04,      0.0907
  10,   5.650e-01,  -4.837e+00,   1.293e-02,       0.007,      -0.004,       1.000,   7.715e-04,      0.1056
  11,   5.136e-01,  -4.837e+00,   1.313e-02,      -0.005,      -0.004,       1.000,   7.525e-04,      0.1291
  12,   4.639e-01,  -4.837e+00,   1.269e-02,      -0.023,      -0.004,       1.000,   7.151e-04,      0.1397
  13,   4.169e-01,  -4.837e+00,   1.144e-02,      -0.040,      -0.003,       0.999,   6.604e-04,      0.1428
  14,   3.739e-01,  -4.837e+00,   9.554e-03,      -0.056,      -0.004,       0.998,   5.894e-04,      0.1414
  15,   3.359e-01,  -4.837e+00,   7.314e-03,      -0.070,      -0.004,       0.998,   5.038e-04,      0.1378
  16,   3.039e-01,  -4.837e+00,   5.004e-03,      -0.081,      -0.004,       0.997,   4.057e-04,      0.1357
  17,   2.787e-01,  -4.837e+00,   2.907e-03,      -0.090,      -0.005,       0.996,   2.973e-04,      0.1438
  18,   2.608e-01,  -4.837e+00,   1.276e-03,      -0.096,      -0.005,       0.995,   1.815e-04,      0.1931
  19,   2.507e-01,  -4.837e+00,   3.025e-04,      -0.099,      -0.005,       0.995,   6.102e-05,      0.4279
Strip 2
  20,   9.117e-01,  -4.807e+00,   6.801e-05,       0.066,      -0.010,       0.998,   1.839e-04,      0.0414
  21,   9.055e-01,  -4.807e+00,   4.702e-04,       0.065,      -0.010,       0.998,   5.470e-04,      0.0682
  22,   8.914e-01,  -4.807e+00,   1.377e-03,       0.062,      -0.010,       0.998,   8.966e-04,      0.0930
  23,   8.695e-01,  -4.807e+00,   2.710e-03,       0.058,      -0.009,       0.998,   1.224e-03,      0.1106
  24,   8.406e-01,  -4.807e+00,   4.357e-03,       0.053,      -0.008,       0.999,   1.521e-03,      0.1224
  25,   8.051e-01,  -4.807e+00,   6.181e-03,       0.047,      -0.008,       0.999,   1.780e-03,      0.1299
  26,   7.642e-01,  -4.807e+00,   8.031e-03,       0.040,      -0.007,       0.999,   1.995e-03,      0.1361
  27,   7.186e-01,  -4.807e+00,   9.761e-03,       0.032,      -0.006,       0.999,   2.161e-03,      0.1423
  28,   6.697e-01,  -4.807e+00,   1.124e-02,       0.024,      -0.005,       1.000,   2.274e-03,      0.1500
  29,   6.185e-01,  -4.807e+00,   1.236e-02,       0.015,      -0.005,       1.000,   2.331e-03,      0.1612
  30,   5.664e-01,  -4.807e+00,   1.305e-02,       0.007,      -0.004,       1.000,   2.331e-03,      0.1820
  31,   5.145e-01,  -4.807e+00,   1.326e-02,      -0.005,      -0.004,       1.000,   2.274e-03,      0.2123
  32,   4.643e-01,  -4.807e+00,   1.281e-02,      -0.023,      -0.004,       1.000,   2.161e-03,      0.2229
  33,   4.169e-01,  -4.807e+00,   1.154e-02,      -0.040,      -0.003,       0.999,   1.995e-03,      0.2248
  34,   3.735e-01,  -4.807e+00,   9.642e-03,      -0.056,      -0.004,       0.998,   1.781e-03,      0.2229
  35,   3.352e-01,  -4.807e+00,   7.382e-03,      -0.070,      -0.004,       0.998,   1.522e-03,      0.2208
  36,   3.029e-01,  -4.807e+00,   5.050e-03,      -0.081,      -0.004,       0.997,   1.226e-03,      0.2244
  37,   2.774e-01,  -4.807e+00,   2.934e-03,      -0.090,      -0.005,       0.996,   8.984e-04,      0.2467
  38,   2.594e-01,  -4.807e+00,   1.288e-03,      -0.096,      -0.005,       0.995,   5.484e-04,      0.3308
  39,   2.492e-01,  -4.807e+00,   3.053e-04,      -0.099,      -0.005,       0.995,   1.844e-04,      0.7143
Strip 3
  40,   9.208e-01,  -4.747e+00,   6.925e-05,       0.066,      -0.010,       0.998,   3.107e-04,      0.0425
  41,   9.145e-01,  -4.747e+00,   4.788e-04,       0.065,      -0.010,       0.998,   9.245e-04,      0.0714
  42,   9.001e-01,  -4.747e+00,   1.402e-03,       0.062,      -0.010,       0.998,   1.515e-03,      0.1012
  43,   8.779e-01,  -4.747e+00,   2.759e-03,       0.058,      -0.009,       0.998,   2.068e-03,      0.1273
  44,   8.483e-01,  -4.747e+00,   4.437e-03,       0.053,      -0.008,       0.999,   2.570e-03,      0.1496
  45,   8.123e-01,  -4.747e+00,   6.294e-03,       0.047,      -0.008,       0.999,   3.008e-03,      0.1676
  46,   7.706e-01,  -4.747e+00,   8.177e-03,       0.040,      -0.007,       0.999,   3.372e-03,      0.1832
  47,   7.242e-01,  -4.747e+00,   9.939e-03,       0.032,      -0.006,       0.999,   3.653e-03,      0.1972
  48,   6.743e-01,  -4.747e+00,   1.144e-02,       0.024,      -0.005,       1.000,   3.844e-03,      0.2113
  49,   6.222e-01,  -4.747e+00,   1.258e-02,       0.015,      -0.005,       1.000,   3.940e-03,      0.2283
  50,   5.692e-01,  -4.747e+00,   1.329e-02,       0.007,      -0.004,       1.000,   3.940e-03,      0.2549
  51,   5.164e-01,  -4.747e+00,   1.350e-02,      -0.005,      -0.004,       1.000,   3.842e-03,      0.2906
  52,   4.652e-01,  -4.747e+00,   1.304e-02,      -0.023,      -0.004,       1.000,   3.652e-03,      0.3040
  53,   4.170e-01,  -4.747e+00,   1.175e-02,      -0.040,      -0.003,       0.999,   3.372e-03,      0.3072
  54,   3.728e-01,  -4.747e+00,   9.818e-03,      -0.056,      -0.004,       0.998,   3.010e-03,      0.3064
