Class,Condition,E,Material,ParisA,Parism,elong,oult,oyield,rho,v
Carbon Steel,Hot Rolled,199948040000.0,AISI 1020,1e-11,3.0,0.25,344738000.0,220632320.0,7833.4117,0.32
Carbon Steel,Cold Worked,199948040000.0,AISI 1020,1e-11,3.0,0.05,482633200.0,413685600.0,7833.4117,0.32
Carbon Steel,Stress Relieved,199948040000.0,AISI 1020,1e-11,3.0,0.1,448159400.0,344738000.0,7833.4117,0.32
Carbon Steel,Annealed,199948040000.0,AISI 1020,1e-11,3.0,0.3,330948480.0,193053280.0,7833.4117,0.32
Carbon Steel,Normalized,199948040000.0,AISI 1020,1e-11,3.0,0.22,379211800.0,234421840.0,7833.4117,0.32
Carbon Steel,Hot Rolled,199948040000.0,AISI 1045,1e-11,3.0,0.15,517107000.0,310264200.0,7833.4117,0.32
Carbon Steel,Cold Worked,199948040000.0,AISI 1045,1e-11,3.0,0.05,620528400.0,551580800.0,7833.4117,0.32
Carbon Steel,Stress Relieved,199948040000.0,AISI 1045,1e-11,3.0,0.08,551580800.0,482633200.0,7833.4117,0.32
Carbon Steel,Annealed,199948040000.0,AISI 1045,1e-11,3.0,0.2,448159400.0,241316600.0,7833.4117,0.32
Carbon Steel,Normalized,199948040000.0,AISI 1045,1e-11,3.0,0.15,517107000.0,330948480.0,7833.4117,0.32
Carbon Steel,,199948040000.0,ASTM A36,1e-11,3.0,0.21,399896080.0,248211360.0,7833.4117,0.3
Carbon Steel,Grade 70,199948040000.0,ASTM A516,1e-11,3.0,0.17,482633200.0,262000880.0,7833.4117,0.3
Alloy Steel,Hot Rolled,199948040000.0,AISI 4130,1e-11,3.0,0.2,620528400.0,482633200.0,7833.4117,0.32
Alloy Steel,Stress Relieved,199948040000.0,AISI 4130,1e-11,3.0,0.1,723949800.0,586054600.0,7833.4117,0.32
Alloy Steel,Annealed,199948040000.0,AISI 4130,1e-11,3.0,0.3,517107000.0,379211800.0,7833.4117,0.32
Alloy Steel,Normalized,199948040000.0,AISI 4130,1e-11,3.0,0.2,620528400.0,413685600.0,7833.4117,0.32
Alloy Steel,Hot Rolled,204774372000.0,AISI 4140,1e-11,3.0,0.15,827371200.0,620528400.0,7833.4117,0.32
Alloy Steel,Stress Relieved,204774372000.0,AISI 4140,1e-11,3.0,0.1,827371200.0,689476000.0,7833.4117,0.32
