city-city,dist,label,sum_gdp
Paris-Madrid,1054.2206353287122,Par-Mad-dir,973.1
Paris-Milan,643.0229493462349,Par-Mil-dir,955.8
Paris-Munich,687.4289556766952,Par-Mun-dir,936.9
Paris-Berlin,880.1220118488678,Par-Ber-dir,935.3
Paris-Amsterdam,428.39172758992953,Par-Ams-dir,924.7
Paris-Dortmund,470.1237855871516,Par-Dor-dir,910.4
Paris-Rome,1108.1927290162203,Par-Rom-dir,907.3
Paris-Hamburg,746.5469809389934,Par-Ham-dir,904.7
Paris-Stuttgart,504.2785214173566,Par-Stu-dir,897.7
Paris-Frankfurt,479.4509998778179,Par-Fra-dir,894.2
Paris-Stockholm,1549.2891494547255,Par-Sto-dir,889.8
Paris-Brussels,261.76794515586585,Par-Bru-dir,889.7
Paris-Vienna,1037.5263746075443,Par-Vie-dir,874.2
Paris-Lisbon,1453.915618536448,Par-Lis-dir,852.8
Paris-Marseille,662.8718230789962,Par-Mar-dir,843.2
Paris-Cologne,403.21546376354434,Par-Col-dir,839.9
Paris-Helsinki,1913.064294477804,Par-Hel-dir,831.5
Paris-Lyon,392.5728724882038,Par-Lyo-dir,830.8
Paris-Düsseldorf,412.13958196175776,Par-Düs-dir,828.3
Paris-Warsaw,1370.8305434249735,Par-War-dir,826.9
Paris-Rotterdam,372.31722912169107,Par-Rot-dir,823.9
Paris-Prague,888.5874532933881,Par-Pra-dir,823.6
Paris-Lille,205.50758846188836,Par-Lil-dir,823.5
Paris-Turin,585.4094464437643,Par-Tur-dir,817.7
Paris-Utrecht,410.29676912578736,Par-Utr-dir,813.9
Paris-Budapest,1252.1348247691296,Par-Bud-dir,811.4
Paris-Toulouse,587.160363437951,Par-Tou-dir,801.0
Paris-Bordeaux,499.15133422643027,Par-Bor-dir,801.0
Paris-Bucharest,1876.241728494663,Par-Buc-dir,801.0
Paris-Malmö,1043.244739179349,Par-Mal-dir,796.0
Paris-Nantes,345.6236802294379,Par-Nan-dir,793.1
Paris-The Hague,382.783486815751,Par-The-dir,791.9
Paris-Bremen,652.1232012775387,Par-Bre-dir,791.1
Paris-Bonn,399.03671966033545,Par-Bon-dir,785.6
Paris-Dresden,853.512409822082,Par-Dre-dir,785.0
Paris-Bologna,842.1669930891557,Par-Bol-dir,784.1
Paris-London,341.8783504361983,Par-Lon-dir,1543.7
Paris-Valencia,1066.7031646408977,Par-Val-dir,801.1
Paris-Naples,1296.7883511336202,Par-Nap-dir,802.3
Paris-Dublin,780.8025052651757,Par-Dub-dir,901.2
Paris-Athens,2101.0067447463075,Par-Ath-dir,823.9
Paris-Barcelona,831.2270937183603,Par-Bar-dir,913.4
Paris-Gothenburg,1172.8653738706853,Par-Got-dir,821.2
Paris-Nuremburg,639.7472495539012,Par-Nur-dir,807.9
