Rank,City proper/metropolitan area,Country/region,UNSD sub‑region[4],Official est. GDP up to date (billion US$),Brookings[7] 2014 est. PPP-adjusted GDP (billion US$),Metropolitan population,Official est. GDP per capita
300+,"Abbotsford, British Columbia",Canada,North America,6.141 (2019)[10],,"202,497 (2019)[11]",30321.44
294,Akron,United States,North America,41.058 (2021)[19],32.849,"700,015 (2021)[20]",58655.89
174,Albany,United States,North America,73.995 (2021)[19],58.397,"899,286 (2021)[20]",82287.5
238,Albuquerque,United States,North America,49.480 (2021)[19],39.913,"918,259 (2021)[20]",53884.58
229,Allentown,United States,North America,50.960 (2021)[19],37.297,"865,310 (2021)[20]",58892.19
21,Atlanta,United States,North America,473.823 (2021)[19],294.42,"6,144,050 (2021)[20]",77118.51
62,Austin,United States,North America,193.773 (2021)[19],107.364,"2,352,426 (2021)[20]",82370.28
226,Bakersfield,United States,North America,52.293 (2021)[19],47.866,"917,673 (2021)[20]",56981.08
57,Baltimore,United States,North America,222.967 (2021)[19],173.747,"2,838,327 (2021)[20]",78556.84
300+,Barrie,Canada,North America,6.382 (2019)[10],,"214,350 (2019)[11]",29764.4
216,Baton Rouge,United States,North America,56.199 (2021)[19],53.535,"871,905 (2021)[20]",64456.56
300+,"Belleville, Ontario",Canada,North America,3.98 (2019)[10],,"111,180 (2019)[11]",35797.81
178,"Birmingham, Alabama",United States,North America,70.874 (2021)[19],54.164,"1,114,262 (2021)[20]",63602.64
16,Boston,United States,North America,531.671 (2021)[19],360.11,"4,899,932 (2021)[20]",108505.59
300+,Brantford,Canada,North America,4.51 (2019)[10],,"149,522 (2019)[11]",30162.79
131,Bridgeport,United States,North America,98.751 (2020)[19],69.963,"959,768 (2021)[20]",102889.45
167,Buffalo,United States,North America,76.991 (2021)[19],72.657,"1,162,336 (2021)[20]",66237.3
154,Calgary,Canada,North America,83.856 (2019)[10],,"1,514,426 (2019)[11]",55374.12
230,"Charleston, South Carolina",United States,North America,50.704 (2021)[19],126.156,"813,052 (2021)[20]",62357.64
61,Charlotte,United States,North America,207.866 (2021)[19],126.156,"2,701,046 (2021)[20]",76959.07
7,Chicago,United States,North America,764.583 (2021)[19],563.188,"9,509,934 (2021)[20]",80398.03
73,Cincinnati,United States,North America,171.737 (2021)[19],110.897,"2,259,935 (2021)[20]",75993.34
103,Cleveland,United States,North America,122.275 (2021)[19],115.142,"2,075,662 (2021)[20]",58911.33
242,Columbia,United States,North America,48.214 (2021)[19],,"838,250(2021)[20]",57512.68
89,Columbus,United States,North America,154.509 (2021)[19],108.904,"2,151,017(2021)[20]",71831.14
14,Dallas–Fort Worth,United States,North America,598.333 (2021)[19],412.674,"7,759,615 (2021)[20]",77108.21
