name,mtom,oem,wing_weight,fuselage_weight,lg_weight,hortail_weight,nacelle_weight,powertrain_weight,h2_weight,misc_weight,l_fuse,w_fuse,eff,v_cruise,v_max,v_stall,loadfactor,h_hover,roc,cL_cruise,mac,y_mac,x_lemac,cLmax,cd,cd0,clalpha,cm,e,A,A_h,S,S_h,c_root,c_tip,t_r_h,sweep_le,sweep_1/4,sweep_m,b,taper,StotS,diskloading,mission_energy,wp_hover,power_hover,power_climb,power_cruise,wp_cruise,tw,WP_hover,WP_cruise,TW,WS,ld_climb,ld_cr,ducted_bool,tandem_bool,G,n_max,n_ult,A_tot,l_cockpit,l_cabin,l_tail,l_fuselage,d_fuselage,upsweep,h_wings,x_rotor_loc,y_rotor_loc,ww,w_eng,takeoff_energy,trans2hor_energy,climb_energy,cruise_energy,descend_energy,hor_loiter_energy,trans2ver_energy,ver_loiter_energy,land_energy,Vx_cr,Vy_cr,Vz_cr,Mx_cr,Mz_cr,T_cr,Vx_vf,Vy_vf,Vz_vf,Mx_vf,Mz_vf,T_vf,thickness_to_chord,i_xx,i_zz,i_xz,j_y,area_enclosed,area,max_shear_cr,max_axial_cr,max_shear_vf,max_axial_vf,crit_buck_stress,depda,depsda,cl_alpha,diskarea,rotor_direction
J1,1927.2167522489876,1452.2167522489876,219.94404969802923,265.9950465623746,79.90076390098949,29.514742008551515,60.467886931282564,59.17264631232001,391.3114708648405,213.89044122069177,9.295,1.7,0.9,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.167029911997918,1.9794622738118532,0.10444779007136112,1.5,0.03433297522233452,0.024537296534741636,4.97,-0.115,0.799480152200161,8.4,6,10.15848009411509,3.25,1.571001804612582,0.6284007218450328,0.14877,0.052765739187454114,0.1,-0.255,9.23749061112198,0.4,1.2,120,716318315.4897568,0.06822382182812936,414208.64255295094,98655.44061627457,126956.00215682032,0.06822382182812936,1.2333333333333332,0.05369959809224056,0.05883400332086396,1.2249512670565301,1767.4453125,220.449,13.241105568848736,0,0,0.045,3.103032482898425,4.654548724347638,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,7311384.350886729,2882618.494220827,7300502.605604318,584353072.0833089,1951223.9316900247,91605715.63072622,2150146.885671107,12426259.276588527,6337392.23106015,209.09519873771742,0.0,-31775.174819856056,64290.91038384651,55.912883247134744,8785.284128582594,0.0,0.0,-4886.04467256282,16552.464637896963,0.0,261.93448054927313,0.17,2.923973112660695e-05,0.00012899881379385418,0.0,0.00015823854492046113,0.15262271672594943,0.0060632602858685936,55835837.86582429,206685853.03287035,7396433.090189652,53167508.50744335,3531983.863062337,0.1,0.1,4.866549364550132,16.060139602074898,"[-1.0, 1.0, -1.0, 1.0, -1.0, 1.0]"
J1,1969.2645137016495,1459.2645137016495,227.13061583749152,265.9950575081502,79.90078593025952,29.514749489784016,60.46790421094842,59.17266322185014,390.5318378104768,213.89048935617524,9.295,1.7,0.9,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.197347597026283,2.0308857318791955,0.10716118684785947,1.5,0.032584644871263425,0.023744044855710852,4.97,-0.115,0.799480152200161,8.4,6,10.693139996908693,3.25,1.6118140729199966,0.6447256291679987,0.14877,0.0527657391874541,0.1,-0.255,9.47746674876958,0.4,1.2,120,713033343.8173631,0.06822382182812936,414208.64255295094,96759.43918520583,126832.68452914816,0.06822382182812936,1.2333333333333332,0.05369959809224056,0.05883400332086396,1.2249512670565301,1767.4453125,220.449,13.253979708764398,0,0,0.045,3.103032482898425,4.654548724347638,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,7311384.350886729,2873138.487065483,7160198.499705232,583785465.7208838,1712828.688814686,89286194.3486959,2140482.2136626476,12426259.276588527,6337392.23106015,209.09519873771742,0.0,-31775.174819856056,64290.91038384651,55.912883247134744,8785.284128582594,0.0,0.0,-4886.04467256282,16552.464637896963,0.0,261.93448054927313,0.17,2.923973112660695e-05,0.00012899881379385418,0.0,0.00015823854492046113,0.15262271672594943,0.0060632602858685936,55835837.86582429,206685853.03287035,7396433.090189652,53167508.50744335,3531983.863062337,0.1,0.1,4.866549364550132,16.060139602074898,"[-1.0, 1.0, -1.0, 1.0, -1.0, 1.0]"
J1,1990.6572734723065,1480.6572734723065,230.8720783411543,266.823053562011,81.5826930162028,30.085233713802502,61.787184986625206,60.4636846000981,397.5066931740178,216.93144539909417,9.295,1.7,0.9,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.210338904854939,2.052920988619339,0.10832389345793847,1.5,0.03226339456676294,0.02342279455121037,4.97,-0.115,0.799480152200161,8.4,6,10.926441517998752,3.25,1.6293023719201103,0.6517209487680442,0.14877,0.0527657391874541,0.1,-0.255,9.58029794689025,0.4,1.2,120,722709128.219003,0.06822382182812936,423245.7922006867,98870.52389449195,128322.18469859238,0.06822382182812936,1.2333333333333332,0.053123207457937166,0.060007117497898575,1.2249512670565301,1767.4453125,220.449,13.385951098460326,0,0,0.045,3.103032482898425,4.654548724347638,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,7470903.172376869,2935824.244432221,7316418.768192405,590641336.9289911,1750198.9597157198,91234228.78571959,2187182.9728838005,12697373.766020602,6475660.620670507,209.09519873771742,0.0,-31775.174819856056,64290.91038384651,55.912883247134744,8785.284128582594,0.0,0.0,-4886.04467256282,16552.464637896963,0.0,261.93448054927313,0.17,2.923973112660695e-05,0.00012899881379385418,0.0,0.00015823854492046113,0.15262271672594943,0.0060632602858685936,55835837.86582429,206685853.03287035,7396433.090189652,53167508.50744335,3531983.863062337,0.1,0.1,4.866549364550132,16.410537614180413,"[-1.0, 1.0, -1.0, 1.0, -1.0, 1.0]"
J1,2001.8759524495931,1491.8759524495931,232.76816864768512,267.2385221254642,82.43840169136396,30.37495085789826,62.45839923749263,61.12052123656768,401.0558909612594,218.79601110553526,9.295,1.7,0.9,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.2168952991335973,2.0640416419919863,0.10891068295339365,1.5,0.03210527932090423,0.023264679305351654,4.97,-0.115,0.799480152200161,8.4,6,11.045138999681042,3.25,1.638128287295227,0.6552513149180909,0.14877,0.0527657391874541,0.1,-0.255,9.632194329295935,0.4,1.2,120,727634114.0867369,0.06822382182812936,427843.6486559738,99944.58649571055,129080.48196550732,0.06822382182812936,1.2333333333333332,0.05283698998820978,0.060495621780422275,1.2249512670565301,1767.4453125,220.449,13.451875550567731,0,0,0.045,3.103032482898425,4.654548724347638,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,7552062.0191059355,2967717.056369381,7395899.400682581,594131627.5016792,1769211.939249725,92225335.8339065,2210943.0516278306,12835309.459679214,6546007.824436399,209.09519873771742,0.0,-31775.174819856056,64290.91038384651,55.912883247134744,8785.284128582594,0.0,0.0,-4886.04467256282,16552.464637896963,0.0,261.93448054927313,0.17,2.923973112660695e-05,0.00012899881379385418,0.0,0.00015823854492046113,0.15262271672594943,0.0060632602858685936,55835837.86582429,206685853.03287035,7396433.090189652,53167508.50744335,3531983.863062337,0.1,0.1,4.866549364550132,16.58881061226922,"[-1.0, 1.0, -1.0, 1.0, -1.0, 1.0]"
J1,2007.7544406081129,1497.7544406081129,233.76052558453483,267.4548744739944,82.88714795073533,30.526741993480517,62.810393897657505,61.46497606353114,402.9172935461349,219.77299249730655,9.295,1.7,0.9,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.220319489081667,2.069849594942366,0.1092171438839864,1.5,0.0320237429692398,0.023183142953687223,4.97,-0.115,0.799480152200161,8.4,6,11.107385711030197,3.25,1.6427377737637825,0.6570951095055131,0.14877,0.0527657391874541,0.1,-0.255,9.659298109731042,0.4,1.2,120,730217423.4288654,0.06822382182812936,430254.832444718,100507.84077677381,129478.26896460091,0.06822382182812936,1.2333333333333332,0.052688730543349126,0.06073898972464904,1.2249512670565301,1767.4453125,220.449,13.486125664818609,0,0,0.045,3.103032482898425,4.654548724347638,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,7594622.916221652,2984442.1176817943,7437580.217481262,595962561.4552233,1779182.6263457532,92745086.99854988,2223403.187615985,12907644.97334154,6582898.936404185,209.09519873771742,0.0,-31775.174819856056,64290.91038384651,55.912883247134744,8785.284128582594,0.0,0.0,-4886.04467256282,16552.464637896963,0.0,261.93448054927313,0.17,2.923973112660695e-05,0.00012899881379385418,0.0,0.00015823854492046113,0.15262271672594943,0.0060632602858685936,55835837.86582429,206685853.03287035,7396433.090189652,53167508.50744335,3531983.863062337,0.1,0.1,4.866549364550132,16.68229960374661,"[-1.0, 1.0, -1.0, 1.0, -1.0, 1.0]"
J1,2010.8334227064431,1500.8334227064431,234.27997199696375,267.56782709506604,83.12228700563077,30.606240794522886,62.99483597375496,61.64546733398726,403.8926926453656,220.28469779692963,9.295,1.7,0.9,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.2221099034802505,2.072886413210733,0.10937738384469475,1.5,0.03198139075832858,0.023140790742776002,4.97,-0.115,0.799480152200161,8.4,6,11.140002435005778,3.25,1.645147946992645,0.6580591787970581,0.14877,0.0527657391874541,0.1,-0.255,9.673469928316754,0.4,1.2,120,731571209.3407307,0.06822382182812936,431518.27133791085,100802.98101816674,129686.73944205722,0.06822382182812936,1.2333333333333332,0.05261154054469247,0.060865255720157455,1.2249512670565301,1767.4453125,220.449,13.503985026934775,0,0,0.045,3.103032482898425,4.654548724347638,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,7616924.448355447,2993205.901285424,7459420.595344339,596922109.3448126,1784407.1778410745,93017431.99326083,2229932.188223652,12945548.140137326,6602229.551470037,209.09519873771742,0.0,-31775.174819856056,64290.91038384651,55.912883247134744,8785.284128582594,0.0,0.0,-4886.04467256282,16552.464637896963,0.0,261.93448054927313,0.17,2.923973112660695e-05,0.00012899881379385418,0.0,0.00015823854492046113,0.15262271672594943,0.0060632602858685936,55835837.86582429,206685853.03287035,7396433.090189652,53167508.50744335,3531983.863062337,0.1,0.1,4.866549364550132,16.731287005067607,"[-1.0, 1.0, -1.0, 1.0, -1.0, 1.0]"
J1,2012.44575126089,1502.44575126089,234.55189549305203,267.6268754872742,83.24544604263454,30.647869467754848,63.09144139936251,61.74000344185264,404.4035895383772,220.5526530032283,9.295,1.7,0.9,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.2230466248534448,2.074475236770651,0.10946121929427227,1.5,0.031959308960475157,0.02311870894492258,4.97,-0.115,0.799480152200161,8.4,6,11.157086131786123,3.25,1.646408918071945,0.6585635672287781,0.14877,0.0527657391874541,0.1,-0.255,9.680884438263037,0.4,1.2,120,732280325.3026159,0.06822382182812936,432180.0240929685,100957.56694149273,129795.93938542262,0.06822382182812936,1.2333333333333332,0.0525712457975394,0.06093104911723833,1.2249512670565301,1767.4453125,220.449,13.513315399751948,0,0,0.045,3.103032482898425,4.654548724347638,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,7628605.345952523,2997796.117698484,7470859.953670462,597424734.8315389,1787143.6468263145,93160078.42558704,2233351.889930774,12965400.722789055,6612354.3686224185,209.09519873771742,0.0,-31775.174819856056,64290.91038384651,55.912883247134744,8785.284128582594,0.0,0.0,-4886.04467256282,16552.464637896963,0.0,261.93448054927313,0.17,2.923973112660695e-05,0.00012899881379385418,0.0,0.00015823854492046113,0.15262271672594943,0.0060632602858685936,55835837.86582429,206685853.03287035,7396433.090189652,53167508.50744335,3531983.863062337,0.1,0.1,4.866549364550132,16.75694518922036,"[-1.0, 1.0, -1.0, 1.0, -1.0, 1.0]"
J1,2013.289960731938,1503.289960731938,234.69424959281162,267.65776568395916,83.30993905550625,30.669665713209476,63.142029444777286,61.789507875873326,404.6711269606739,220.69295270222324,9.295,1.7,0.9,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.223536858863993,2.075306749073157,0.1095050946555575,1.5,0.031947773255615125,0.02310717324006255,4.97,-0.115,0.799480152200161,8.4,6,11.166032118237098,3.25,1.6470688484707596,0.6588275393883039,0.14877,0.052765739187454114,0.1,-0.255,9.684764829008065,0.4,1.2,120,732651669.8587347,0.06822382182812936,432526.5551311133,101038.51684322458,129853.12512287911,0.06822382182812936,1.2333333333333332,0.052550182098084736,0.0609654092391631,1.2249512670565301,1767.4453125,220.449,13.51819478890013,0,0,0.045,3.103032482898425,4.654548724347638,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,7634722.12225582,3000199.8137114886,7476850.246398619,597687949.3373073,1788576.6162111182,93234776.13693598,2235142.638474936,12975796.653933398,6617656.293506034,209.09519873771742,0.0,-31775.174819856056,64290.91038384651,55.912883247134744,8785.284128582594,0.0,0.0,-4886.04467256282,16552.464637896963,0.0,261.93448054927313,0.17,2.923973112660695e-05,0.00012899881379385418,0.0,0.00015823854492046113,0.15262271672594943,0.0060632602858685936,55835837.86582429,206685853.03287035,7396433.090189652,53167508.50744335,3531983.863062337,0.1,0.1,4.866549364550132,16.770381260507417,"[-1.0, 1.0, -1.0, 1.0, -1.0, 1.0]"
J1,2013.7319593370553,1503.7319593370553,234.76877463563142,267.67393123141716,83.34370736664393,30.68107736229321,63.168517164630146,61.81542822067146,404.81120942377635,220.76640853771383,9.295,1.7,0.9,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.2237934653092455,2.0757419930822207,0.10952806062742264,1.5,0.03194174073922501,0.023101140723672434,4.97,-0.115,0.799480152200161,8.4,6,11.1707162047832,3.25,1.6474142802239846,0.6589657120895939,0.14877,0.052765739187454114,0.1,-0.255,9.686795967717028,0.4,1.2,120,732846107.6789706,0.06822382182812936,432707.9975447002,101080.90192257705,129883.06805231815,0.06822382182812936,1.2333333333333332,0.05253916331443549,0.060983374651934576,1.2249512670565301,1767.4453125,220.449,13.520747834843824,0,0,0.045,3.103032482898425,4.654548724347638,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,7637924.844475979,3001458.380356669,7479986.742270702,597825770.6494755,1789326.9138617031,93273887.59173992,2236080.268015192,12981239.926341007,6620432.362433914,209.09519873771742,0.0,-31775.174819856056,64290.91038384651,55.912883247134744,8785.284128582594,0.0,0.0,-4886.04467256282,16552.464637896963,0.0,261.93448054927313,0.17,2.923973112660695e-05,0.00012899881379385418,0.0,0.00015823854492046113,0.15262271672594943,0.0060632602858685936,55835837.86582429,206685853.03287035,7396433.090189652,53167508.50744335,3531983.863062337,0.1,0.1,4.866549364550132,16.777416339432815,"[-1.0, 1.0, -1.0, 1.0, -1.0, 1.0]"
J1,2013.9633671272588,1503.9633671272588,234.80779031737433,267.6823926335596,83.36138727540103,30.68705188766573,63.182385209978136,61.828999208249584,404.8845519364727,220.80486619244328,9.295,1.7,0.9,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.2239277940274738,2.075969835254293,0.10954008288805006,1.5,0.03193858438747141,0.02309798437191883,4.97,-0.115,0.799480152200161,8.4,6,11.173168628963015,3.25,1.6475951073446764,0.6590380429378706,0.14877,0.05276573918745409,0.1,-0.255,9.6878592311867,0.4,1.2,120,732947909.3920455,0.06822382182812936,432802.9944577471,101103.0932703338,129898.7453113591,0.06822382182812936,1.2333333333333332,0.05253339702781366,0.060992773756151954,1.2249512670565301,1767.4453125,220.449,13.522084031702795,0,0,0.045,3.103032482898425,4.654548724347638,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,7639601.678013667,3002117.321911691,7481628.902004701,597897929.9355808,1789719.7435163725,93294364.98397528,2236571.178106967,12984089.833732413,6621885.815203531,209.09519873771742,0.0,-31775.174819856056,64290.91038384651,55.912883247134744,8785.284128582594,0.0,0.0,-4886.04467256282,16552.464637896963,0.0,261.93448054927313,0.17,2.923973112660695e-05,0.00012899881379385418,0.0,0.00015823854492046113,0.15262271672594943,0.0060632602858685936,55835837.86582429,206685853.03287035,7396433.090189652,53167508.50744335,3531983.863062337,0.1,0.1,4.866549364550132,16.78109966114213,"[-1.0, 1.0, -1.0, 1.0, -1.0, 1.0]"
