name,mtom,oem,wing1_weight,wing2_weight,fuselage_weight,lg_weight,nacelle_weight,powertrain_weight,h2_weight,misc_weight,l_fuse,w_fuse,eff,diskloading,v_cruise,v_max,v_stall,loadfactor,h_hover,roc,cL_cruise,mac1,y_mac1,x_lemac1,mac2,y_mac2,x_lemac2,cLmax,cd,cd0,clalpha,cm,e,b1,b2,A1,A2,S1,S2,S,S1/S,S2/S,c_root1,c_root2,c_tip1,c_tip2,sweep_le1,sweep1_1/4,sweep2_1/4,sweep_le2,sweep_m,taper1,taper2,StotS,mission_energy,WP_hover,power_hover,power_climb,power_cruise,WP_cruise,TW,WS,ld_climb,ld_cr,ducted_bool,tandem_bool,G,n_max,n_ult,A_tot,l_cockpit,l_cabin,l_tail,l_fuselage,d_fuselage,upsweep,h_wings,x_rotor_loc,y_rotor_loc,takeoff_energy,trans2hor_energy,climb_energy,cruise_energy,descend_energy,hor_loiter_energy,trans2ver_energy,ver_loiter_energy,land_energy,Vx_cr,Vz_cr,Mx_cr,Mz_cr,T_cr,Vz_vf,Mx_vf,T_vf
L1,4521.278381254779,4046.2783812547787,59.74737219790734,222.10893754184997,293.88995086650806,167.05797664095036,402.144941265141,276.09476152305064,2241.206208572908,384.02823264646287,10,1.7,0.6,1200,83.33,104.17,45,2,30.5,5,0.416,1.0844248988594076,1.270028391164191,0.09606108235399435,1.2866640696878504,2.676013829552713,0.1160164590654791,1.5,0.07,0.017,5.17,1.11,0.75,5.926799158766224,12.488064537912658,5.8,10.3,6.056370391095175,15.140947175055501,21.197317566150677,0.285714,0.714286,1.459802748464587,1.7320477861182604,0.5839210993858348,0.6928191144473042,0.07563695663995235,0.1,0.1,0.043354207584521666,-0.209,0.4,0.4,1.2,1839582055.9966428,0.007141328857834198,1932663.3306613546,272255.2997257915,309132.73868727806,0.050870607832346856,1.2237037037037035,1860.46875,251.9211,15.779869976208872,1,1,0.045,4.199523015039315,6.299284522558972,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",34114315.78114323,12509745.70815289,20146892.17970857,1422876133.9720023,3898619.6952077993,248665330.978356,9821368.803112494,57979899.919840634,29569748.959118728,477.6125777021106,-11364.921963732802,28572.650279261365,-1090.5884025637883,-23747.275255611545,-10424.408752057077,27853.874739171577,0.0
L1,4920.660257994914,4445.660257994914,65.28808611342818,242.70636359974077,307.85407290008095,187.05113525019115,452.1278377463277,310.41078658801854,2455.1092811126236,425.11269468450223,10,1.7,0.6,1200,83.33,104.17,45,2,30.5,5,0.416,1.14984367191356,1.3466438388372273,0.10185604164759035,1.3642830775697,2.837446439214674,0.12301524193567483,1.5,0.07,0.017,5.17,1.11,0.75,6.284337914573727,13.241416716335143,5.8,10.3,6.8091212111291135,17.022826859770852,23.831948070899966,0.285714,0.714286,1.5478664814221004,1.8365349121130576,0.6191465925688402,0.7346139648452231,0.07563695663995236,0.1,0.1,0.04335420758452167,-0.209,0.4,0.4,1.2,2015153697.9372416,0.006735032781883063,2172875.50611613,306094.11520321085,336024.83770039707,0.05087061134256699,1.2237037037037035,1860.46875,251.9211,16.321335021974566,1,1,0.045,4.199523015039315,6.299284522558972,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",38354409.685721725,14064591.388343414,22650964.5250376,1546655084.2076404,4383182.0622788565,279572131.54048604,11042074.100673035,65186265.1834839,33244995.24357679,477.6125777021106,-11364.921963732802,28572.650279261365,-1090.5884025637883,-23747.275255611545,-10424.408752057077,27853.874739171577,0.0
L1,5238.559141582535,4763.559141582535,69.60859567201474,258.76771914385426,318.5581783212113,203.02641031979655,492.06602538684945,337.8305630436985,2626.041919353298,457.6597303418116,10,1.7,0.6,1200,83.33,104.17,45,2,30.5,5,0.416,1.1995541727148828,1.40486248304493,0.10625952271516517,1.4232643083903167,2.960116056777169,0.1283334859997931,1.5,0.07,0.017,5.17,1.11,0.75,6.55602492087634,13.813874931626787,5.8,10.3,7.41059702812959,18.52651850743951,25.9371155355691,0.285714,0.714286,1.6147844632700346,1.9159327228331187,0.6459137853080139,0.7663730891332475,0.07563695663995235,0.1,0.1,0.043354207584521666,-0.209,0.4,0.4,1.2,2155455207.4051867,0.006455927544190469,2364813.9413058893,333132.58350363915,357515.50225584605,0.05087061134256699,1.2237037037037035,1860.46875,251.9211,16.695303336474108,1,1,0.045,4.199523015039315,6.299284522558972,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",41742401.93699566,15306970.740065798,24651811.1792693,1645572312.5445585,4770365.36100792,304267811.20529175,12017462.89684058,70944418.23917668,36181653.30198011,477.6125777021106,-11364.921963732802,28572.650279261365,-1090.5884025637883,-23747.275255611545,-10424.408752057077,27853.874739171577,0.0
L1,5490.897995814047,5015.897995814047,72.98683720032035,271.3262235434502,326.82626911265965,215.74236566330137,523.8559137189528,359.65608100317877,2762.091817429641,483.4124881425426,10,1.7,0.6,1200,83.33,104.17,45,2,30.5,5,0.416,1.2376963241493308,1.4495328103979659,0.10963825032825923,1.468519757470207,3.0542386878923633,0.13241409808756263,1.5,0.07,0.017,5.17,1.11,0.75,6.764486448523841,14.253113876831026,5.8,10.3,7.889358088321154,19.723422833583804,27.612780921904957,0.285714,0.714286,1.666129667124099,1.9768535196714325,0.6664518668496396,0.790741407868573,0.07563695663995236,0.1,0.1,0.04335420758452167,-0.209,0.4,0.4,1.2,2267124963.746249,0.006256974892206485,2517592.5670222514,354654.5888504624,374620.05002631276,0.050870611342567006,1.2237037037037035,1860.46875,251.9211,16.96237441641947,1,1,0.045,4.199523015039315,6.299284522558972,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",44439166.65520117,16295876.426344195,26244439.574934218,1724301123.0494897,5078554.454149542,323925010.12217563,12793850.17784705,75527777.01066755,38519166.27544045,477.6125777021106,-11364.921963732802,28572.650279261365,-1090.5884025637883,-23747.275255611545,-10424.408752057077,27853.874739171577,0.0
L1,5690.786473804368,5215.786473804368,75.63297934696917,281.1631720008664,333.2449589491251,225.83591983256187,549.0897991209432,376.9805400662335,2870.0720613019585,503.7670431857107,10,1.7,0.6,1200,83.33,104.17,45,2,30.5,5,0.416,1.2671553555081962,1.484033868277868,0.11224780534715387,1.5034727332061266,3.126934155696973,0.13556575248921757,1.5,0.07,0.017,5.17,1.11,0.75,6.925491385296717,14.592359393252538,5.8,10.3,8.269384642727422,20.673490549693746,28.942875192421166,0.285714,0.714286,1.7057860554918025,2.0239056023928628,0.682314422196721,0.8095622409571451,0.07563695663995236,0.1,0.1,0.04335420758452167,-0.209,0.4,0.4,1.2,2355755147.9166474,0.006111511734307255,2638863.7804636345,371738.1284612108,388194.9662701749,0.05087061134256699,1.2237037037037035,1860.46875,251.9211,17.157708607372705,1,1,0.045,4.199523015039315,6.299284522558972,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",46579779.769170724,17080840.893669035,27508621.5061296,1786783745.9709008,5323185.960156612,339528320.82307726,13410123.738540737,79165913.41390903,40374615.84109361,477.6125777021106,-11364.921963732802,28572.650279261365,-1090.5884025637883,-23747.275255611545,-10424.408752057077,27853.874739171577,0.0
L1,5848.882837156378,5373.882837156378,77.70815485182862,288.8775703022758,338.2452326671619,233.83145895217473,569.0786469032129,390.7039904824049,2955.5975983296325,519.8401846676868,10,1.7,0.6,1200,83.33,104.17,45,2,30.5,5,0.416,1.290013694687755,1.5108045001246977,0.11427265446737664,1.5305940246353538,3.1833412262367986,0.1380112363346359,1.5,0.07,0.017,5.17,1.11,0.75,7.050421000581922,14.855592389105059,5.8,10.3,8.57042004921493,21.426080119537488,29.99650016875242,0.285714,0.714286,1.7365568966950546,2.0604150331629763,0.6946227586780219,0.8241660132651906,0.07563695663995235,0.1,0.1,0.043354207584521666,-0.209,0.4,0.4,1.2,2425954508.7089624,0.006003219079199852,2734927.9333768343,385270.73619964055,398946.411531268,0.05087061134256699,1.2237037037037035,1860.46875,251.9211,17.3030849152422,1,1,0.045,4.199523015039315,6.299284522558972,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",48275451.64110896,17702645.066981524,28510034.4787734,1836270496.9785037,5516969.115561486,351888375.4690883,13898300.576974504,82047838.00130503,41844397.38066556,477.6125777021106,-11364.921963732802,28572.650279261365,-1090.5884025637883,-23747.275255611545,-10424.408752057077,27853.874739171577,0.0
L1,5973.7785495419885,5498.7785495419885,79.33692701392835,294.93247851185185,342.15015689059504,240.1553134862551,584.888283225156,401.5581809052433,3023.23421643279,532.5229930761686,10,1.7,0.6,1200,83.33,104.17,45,2,30.5,5,0.416,1.3078099474778966,1.531646650026998,0.11584909125582034,1.5517091789113584,3.227256686524297,0.13991515631610993,1.5,0.07,0.017,5.17,1.11,0.75,7.1476843667926575,15.060531203780053,5.8,10.3,8.808515828843476,22.021320401944916,30.82983623078839,0.285714,0.714286,1.76051339083563,2.088839279303752,0.7042053563342521,0.8355357117215008,0.07563695663995236,0.1,0.1,0.04335420758452166,-0.209,0.4,0.4,1.2,2481470644.848034,0.005921529224726674,2810907.266336703,395973.9847891797,407448.6408041038,0.05087061134256699,1.2237037037037035,1860.46875,251.9211,17.412689664792513,1,1,0.045,4.199523015039315,6.299284522558972,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",49616597.25934068,18194444.191704288,29302074.874399297,1875404556.8947985,5670236.639815044,361664225.03286904,14284410.790054396,84327217.9901011,43006881.17495156,477.6125777021106,-11364.921963732802,28572.650279261365,-1090.5884025637883,-23747.275255611545,-10424.408752057077,27853.874739171577,0.0
L1,6072.357413231802,5597.357413231802,80.61609477371393,299.6877435822999,345.2051607856687,245.15114198167953,597.3778544532435,410.1329628704116,3076.6618500849354,542.5246046998489,10,1.7,0.6,1200,83.33,104.17,45,2,30.5,5,0.416,1.3216995283322508,1.54791348606604,0.11707946522797459,1.5681890888130205,3.261531729906311,0.14140112366186228,1.5,0.07,0.017,5.17,1.11,0.75,7.223596268308185,15.22048140622945,5.8,10.3,8.99661087026137,22.491558663822953,31.48816953408432,0.285714,0.714286,1.7792109035241839,2.111023773402143,0.7116843614096736,0.8444095093608572,0.07563695663995237,0.1,0.1,0.04335420758452167,-0.209,0.4,0.4,1.2,2525324046.549715,0.0058593005886522975,2870930.740092881,404429.5231019386,414164.4670898458,0.050870611342567006,1.2237037037037035,1860.46875,251.9211,17.49613392626537,1,1,0.045,4.199523015039315,6.299284522558972,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",50676098.7801248,18582964.210321717,29927784.709543455,1906316161.3481555,5791317.581978185,369387120.54770404,14589436.845679738,86127922.20278643,43925240.32342108,477.6125777021106,-11364.921963732802,28572.650279261365,-1090.5884025637883,-23747.275255611545,-10424.408752057077,27853.874739171577,0.0
L1,6150.110933208044,5675.110933208044,81.62114231973788,303.42397556062014,347.59841788212583,249.09429652927207,607.2357408139579,416.9009475063003,3118.828333455251,550.4080791407793,10,1.7,0.6,1200,83.33,104.17,45,2,30.5,5,0.416,1.3325602014023519,1.5606330051039083,0.11804153093792287,1.5810752165906319,3.2883323975822476,0.1425630453716886,1.5,0.07,0.017,5.17,1.11,0.75,7.282954023818238,15.345551188717154,5.8,10.3,9.145072295353495,22.86271274616878,32.007785041522276,0.285714,0.714286,1.79383104034932,2.1283704838720046,0.7175324161397281,0.8513481935488019,0.07563695663995236,0.1,0.1,0.043354207584521666,-0.209,0.4,0.4,1.2,2559934296.1000695,0.00581154593708321,2918306.632544102,411103.38998524623,419464.59453190485,0.050870611342567006,1.2237037037037035,1860.46875,251.9211,17.56013408757973,1,1,0.045,4.199523015039315,6.299284522558972,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",51512352.1150196,18889618.948298648,30421650.85890822,1930711587.3271067,5886885.487913029,375482720.22607446,14830190.682500768,87549198.97632307,44650091.477924764,477.6125777021106,-11364.921963732802,28572.650279261365,-1090.5884025637883,-23747.275255611545,-10424.408752057077,27853.874739171577,0.0
L1,6211.405789989056,5736.405789989056,82.41107242818285,306.3605153725782,349.47514659165086,252.20443732832175,615.0110928050619,422.23915702595264,3152.0847175096947,556.6196509276126,10,1.7,0.6,1200,83.33,104.17,45,2,30.5,5,0.416,1.341064450509087,1.5705927891539118,0.11879485869225624,1.5911654605317478,3.3093181645482406,0.14347286666905268,1.5,0.07,0.017,5.17,1.11,0.75,7.3294330160515875,15.443484767891789,5.8,10.3,9.262170402894322,23.15545842486463,32.41762882775895,0.285714,0.714286,1.8052790679930018,2.141953504561968,0.7221116271972008,0.8567814018247873,0.07563695663995235,0.1,0.1,0.04335420758452167,-0.209,0.4,0.4,1.2,2587231136.1319575,0.005774692500005349,2955674.0991816684,416367.3646610232,423644.6493509683,0.05087061134256699,1.2237037037037035,1860.46875,251.9211,17.60950042516614,1,1,0.045,4.199523015039315,6.299284522558972,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",52171942.192914344,19131491.13471503,30811184.984915715,1949951543.1661315,5962264.132026581,380290589.9216584,15020083.906666175,88670222.97545005,45221813.71747953,477.6125777021106,-11364.921963732802,28572.650279261365,-1090.5884025637883,-23747.275255611545,-10424.408752057077,27853.874739171577,0.0
