name,mtom,oem,wing1_weight,wing2_weight,fuselage_weight,lg_weight,nacelle_weight,powertrain_weight,h2_weight,misc_weight,l_fuse,w_fuse,eff,diskloading,v_cruise,v_max,v_stall,loadfactor,h_hover,roc,cL_cruise,mac1,y_mac1,x_lemac1,mac2,y_mac2,x_lemac2,cLmax,cd,cd0,clalpha,e,b1,b2,A1,A2,S1,S2,S,S1/S,S2/S,c_root1,c_root2,c_tip1,c_tip2,sweep_le1,sweep1_1/4,sweep2_1/4,sweep_le2,sweep_m,taper1,taper2,StotS,mission_energy,WP_hover,power_hover,power_climb,power_cruise,WP_cruise,TW,WS,ld_climb,ld_cr,ducted_bool,tandem_bool,G,n_max,n_ult,A_tot,l_cockpit,l_cabin,l_tail,l_fuselage,d_fuselage,upsweep,h_wings,x_rotor_loc,y_rotor_loc,takeoff_energy,trans2hor_energy,climb_energy,cruise_energy,descend_energy,hor_loiter_energy,trans2ver_energy,ver_loiter_energy,land_energy
L1,4800.615481050222,4325.615481050222,59.74737219790734,222.10893754184997,293.88995086650806,167.05797664095036,402.144941265141,276.09476152305064,2520.5433083683515,384.02823264646287,10,1.7,0.6,1200,83.33,104.17,45,2,30.5,5,0.416,1.0844248988594076,1.270028391164191,0.09606108235399435,1.2866640696878504,2.676013829552713,0.1160164590654791,1.5,0.07,0.017,5.17,0.75,5.926799158766224,12.488064537912658,5.8,10.3,6.056370391095175,15.140947175055501,21.197317566150677,0.285714,0.714286,1.459802748464587,1.7320477861182604,0.5839210993858348,0.6928191144473042,0.07563695663995235,0.1,0.1,0.043354207584521666,-0.209,0.4,0.4,1.2,2068861947.508743,0.007141328857834198,1932663.3306613546,272255.2997257915,358945.8735742901,0.050870607832346856,1.2237037037037035,1860.46875,251.9211,13.59,1,1,0.045,4.199523015039315,6.299284522558972,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",34114315.78114323,12509745.70815289,20146892.17970857,1652156025.4841025,3898619.6952077993,248665330.978356,9821368.803112494,57979899.919840634,29569748.959118728
L1,5577.353944651241,5102.353944651241,68.31922676859455,253.97453164952307,315.3795580957202,198.22461924200888,480.06154770244706,329.588824646948,3008.904992960171,447.9006435858292,10,1.7,0.6,1200,83.33,104.17,45,2,30.5,5,0.416,1.1848316208022183,1.387620109747213,0.1049553620736759,1.40579608299263,2.9237855072240952,0.12675840381280942,1.5,0.07,0.017,5.17,0.75,6.475560512153661,13.644332367045775,5.8,10.3,7.229807576993756,18.07454424683621,25.30435182382997,0.285714,0.714286,1.5949656433876016,1.8924178040285404,0.6379862573550407,0.7569671216114162,0.07563695663995237,0.1,0.1,0.04335420758452167,-0.209,0.4,0.4,1.2,2469709218.2217083,0.006536147996400708,2307121.7725286363,325005.4573492318,428492.550639521,0.05087061134256699,1.2237037037037035,1860.46875,251.9211,13.59,1,1,0.045,4.199523015039315,6.299284522558972,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",40724051.33627685,14933540.795333365,24050403.843843155,1972265462.6578867,4653987.189038731,296844872.0848266,11724284.018955562,69213653.1758591,35298963.11968814
L1,6347.872540590534,5872.872540590534,76.5327510917805,284.50804456878876,335.41654015271416,229.29415778604965,557.7353939974125,382.91621949597896,3495.7451180605526,510.72431543725725,10,1.7,0.6,1200,83.33,104.17,45,2,30.5,5,0.416,1.2770922768792805,1.495671531960542,0.11312804281051062,1.5152628347658885,3.1514552996140557,0.13662884725280866,1.5,0.07,0.017,5.17,0.75,6.979800482482529,14.706791398198925,5.8,10.3,8.399588754355747,20.999001284479405,29.398590038835152,0.285714,0.714286,1.719162680414416,2.0397768929540807,0.6876650721657664,0.8159107571816323,0.07563695663995235,0.1,0.1,0.04335420758452166,-0.209,0.4,0.4,1.2,2869307592.9041014,0.006063958701013003,2680413.5364718526,377591.2644399847,497822.54525417223,0.05087061134256699,1.2237037037037035,1860.46875,251.9211,13.59,1,1,0.045,4.199523015039315,6.299284522558972,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",47313193.33096722,17349784.208136924,27941753.568558868,2291377553.8731365,5407001.2292388305,344874303.0569917,13621270.434895974,80412406.09415558,41010327.108019345
L1,7109.2039451248265,6634.2039451248265,84.40938164934039,313.78916573265093,354.20633085694226,260.1149016236214,634.7872535267268,435.816586002461,3978.686786611604,572.3935391214798,10,1.7,0.6,1200,83.33,104.17,45,2,30.5,5,0.416,1.362455336925889,1.5956448080535894,0.12068971715951443,1.616545627475739,3.362104030990408,0.1457613560803152,1.5,0.07,0.017,5.17,0.75,7.446342437583416,15.68981881128857,5.8,10.3,9.560002706509609,23.900040226316953,33.46004293282656,0.285714,0.714286,1.8340744920156198,2.1761191139096487,0.733629796806248,0.8704476455638596,0.07563695663995235,0.1,0.1,0.043354207584521666,-0.209,0.4,0.4,1.2,3265706114.4508047,0.0056840283967413965,3050716.102017227,429755.9815804946,566597.3679394046,0.050870611342567006,1.2237037037037035,1860.46875,251.9211,13.59,1,1,0.045,4.199523015039315,6.299284522558972,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",53849571.63088535,19746679.133681998,31801942.636956602,2607934299.7956953,6153985.379203093,392519130.0491636,15503066.403837612,91521483.06051682,46675956.360863574
L1,7859.005501276182,7384.005501276182,91.96649809129914,341.88250343198325,371.89844745282227,290.56815780499306,710.9203939163115,488.08620096699326,4455.87015475328,632.813144858499,10,1.7,0.6,1200,83.33,104.17,45,2,30.5,5,0.416,1.441845286660661,1.6886226530314281,0.12772227838857944,1.710741358250175,3.558013036437624,0.154254835770151,1.5,0.07,0.017,5.17,0.75,7.880239047479996,16.60406083670891,5.8,10.3,10.706580594039387,26.76648895816802,37.473069552207406,0.285714,0.714286,1.9409455781970437,2.302921059182928,0.7763782312788176,0.9211684236731712,0.07563695663995236,0.1,0.1,0.043354207584521666,-0.209,0.4,0.4,1.2,3657378223.0214915,0.005371058112839835,3416603.406768953,481298.7186111368,634552.1617983578,0.050870611342567006,1.2237037037037035,1860.46875,251.9211,13.59,1,1,0.045,4.199523015039315,6.299284522558972,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",60308014.16279827,22114994.953447275,35616105.17722412,2920716617.131245,6892062.948069391,439595869.33087385,17362424.99119893,102498102.20306858,52274032.12356498
L1,8595.423526612241,8120.4235266122405,99.21890749841013,368.84310251400206,388.60699754992834,320.5602200510473,785.9005494685695,539.5642280212064,4925.82690403651,691.9026174725665,10,1.7,0.6,1200,83.33,104.17,45,2,30.5,5,0.416,1.5159747642751884,1.775439675853057,0.13428885377934877,1.798695568312727,3.7409408790965673,0.16218552743377554,1.5,0.07,0.017,5.17,0.75,8.285385153980933,17.457724102450644,5.8,10.3,11.835794336173732,29.58952726575593,41.42532160192966,0.285714,0.714286,2.0407352596012154,2.4213209573440557,0.8162941038404862,0.9685283829376223,0.07563695663995237,0.1,0.1,0.043354207584521666,-0.209,0.4,0.4,1.2,4043118722.8331676,0.005108419352931157,3776949.5961484453,532060.8758053692,701477.8263380411,0.050870611342567006,1.2237037037037035,1860.46875,251.9211,13.59,1,1,0.045,4.199523015039315,6.299284522558972,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",66668647.95762326,24447444.234459285,39372504.80959732,3228762058.1547666,7618962.832141405,485959663.28674,19193624.852315526,113308487.88445336,57787328.821071215
L1,9316.996240196651,8841.996240196651,106.17970257956623,394.71963470358446,404.42242870658373,350.01694106448963,859.54235194042,590.1234016058067,5387.395192954078,749.5965866421217,10,1.7,0.6,1200,83.33,104.17,45,2,30.5,5,0.416,1.5854108128436242,1.8567599711957061,0.14043967343212882,1.881081051095422,3.9122868399224973,0.16961409578819225,1.5,0.07,0.017,5.17,0.75,8.66487986557996,18.257338586304986,5.8,10.3,12.94485225602293,32.362175947085525,45.30702820310845,0.285714,0.714286,2.13420686344334,2.5322244918592216,0.8536827453773361,1.0128897967436887,0.07563695663995236,0.1,0.1,0.04335420758452167,-0.209,0.4,0.4,1.2,4421973974.376707,0.0048846865188767125,4130863.811240647,581916.9573993493,767208.9058753954,0.050870611342567006,1.2237037037037035,1860.46875,251.9211,13.59,1,1,0.045,4.199523015039315,6.299284522558972,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",72915748.06116757,26738260.62397961,43061854.84755185,3531309063.4673615,8332887.967203759,531495889.92158365,20992138.838657442,123925914.33721942,63202216.3119819
L1,10022.58137960821,9547.58137960821,112.86077926098794,419.5563227244541,419.41867584043683,378.87984960786605,931.6996232383507,639.6633623684143,5839.658813995639,805.8439525720607,10,1.7,0.6,1200,83.33,104.17,45,2,30.5,5,0.416,1.6506163231468534,1.933125655377757,0.1462157413753869,1.9584470239175773,4.073193185320885,0.17659006288826065,1.5,0.07,0.017,5.17,0.75,9.021253058429531,19.008234864830793,5.8,10.3,14.031552886935204,35.078931327822225,49.11048421475743,0.285714,0.714286,2.2219835119284563,2.6363709937352002,0.8887934047713826,1.0545483974940801,0.07563695663995236,0.1,0.1,0.043354207584521666,-0.209,0.4,0.4,1.2,4793191954.52762,0.004691723155635864,4477643.5365789,630767.9996698546,831614.9250069305,0.05087061134256699,1.2237037037037035,1860.46875,251.9211,13.59,1,1,0.045,4.199523015039315,6.299284522558972,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",79036914.05474961,28982896.878986396,46676831.97556924,3827757080.8968945,9032421.220437175,576114160.372398,22754396.921560872,134329306.09736702,68507946.10965718
L1,10711.300463781132,10236.300463781132,119.27315945622348,443.3941401862915,433.6577229567376,407.10325518432836,1002.2581371203369,688.1056876712801,6281.901825816592,860.6065353893421,10,1.7,0.6,1200,83.33,104.17,45,2,30.5,5,0.416,1.7119771787842457,2.00498865746078,0.15165124014795728,2.0312513355088884,4.224612152601659,0.18315471222798524,1.5,0.07,0.017,5.17,0.75,9.356613734816973,19.714856712141074,5.8,10.3,15.094175962511315,37.735492735946984,52.8296686984583,0.285714,0.714286,2.304584663748023,2.7343767978004263,0.9218338654992092,1.0937507191201705,0.07563695663995235,0.1,0.1,0.043354207584521666,-0.209,0.4,0.4,1.2,5156185018.630258,0.004523561949510427,4816739.8136989605,678536.6705493452,894593.9278604685,0.050870611342567006,1.2237037037037035,1860.46875,251.9211,13.59,1,1,0.045,4.199523015039315,6.299284522558972,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",85022456.02388565,31177799.700421773,50211713.62065154,4117636827.9666657,9716455.218277624,619743843.1246102,24477609.41518173,144502194.4109688,73696119.1495941
L1,11382.494773394988,10907.494773394988,125.42719783546643,466.2715802430324,447.19263188696993,434.65201855124525,1071.1300454798736,735.39006492676,6713.573618588776,913.8576158828645,10,1.7,0.6,1200,83.33,104.17,45,2,30.5,5,0.416,1.7698207247848043,2.0727323488345113,0.15677516679502254,2.0998823789131253,4.367351524604894,0.18934306459229777,1.5,0.07,0.017,5.17,0.75,9.672750961227718,20.380973781489505,5.8,10.3,16.131398475505478,40.32855264871482,56.4599511242203,0.285714,0.714286,2.382450975671852,2.8267647408445917,0.9529803902687409,1.1307058963378367,0.07563695663995236,0.1,0.1,0.04335420758452167,-0.209,0.4,0.4,1.2,5510501226.137668,0.004375717108477332,5147730.45448732,725163.4961762535,956067.5031168667,0.050870611342567006,1.2237037037037035,1860.46875,251.9211,13.59,1,1,0.045,4.199523015039315,6.299284522558972,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",90864921.73496898,33320236.34851819,53662098.71704276,4400587393.065969,10384138.31167256,662330617.5185809,26159630.85263954,154431913.6346196,78760275.953656
