name,mtom,oem,wing1_weight,wing2_weight,fuselage_weight,lg_weight,powertrain_weight,nacelle_weight,h2_weight,misc_weight,l_fuse,w_fuse,eff,diskloading,v_cruise,v_max,v_stall,loadfactor,h_hover,roc,cL_cruise,mac1,y_mac1,x_lemac1,mac2,y_mac2,x_lemac2,cLmax,cd,cd0,clalpha,cm,e,b1,b2,A1,A2,S1,S2,S,S1/S,S2/S,c_root1,c_root2,c_tip1,c_tip2,sweep_le1,sweep_le2,sweep1_1/4,sweep2_1/4,sweep_m,taper1,taper2,StotS,mission_energy,power_hover,power_climb,power_cruise,WP_hover,WP_cruise,TW,WS,ld_climb,ld_cr,ducted_bool,tandem_bool,G,n_max,n_ult,A_tot,l_cockpit,l_cabin,l_tail,l_fuselage,d_fuselage,upsweep,h_wings,x_rotor_loc,y_rotor_loc,takeoff_energy,trans2hor_energy,climb_energy,cruise_energy,descend_energy,hor_loiter_energy,trans2ver_energy,ver_loiter_energy,land_energy,Vx_cr,Vz_cr,Mx_cr,Mz_cr,T_cr,Vz_vf,Mx_vf,T_vf
W1,3535.728251259783,3060.728251259783,143.43440798800611,156.59955838027128,308.7347327201135,134.6234049540089,160.9752504309902,321.0585121157856,1518.981378005388,316.32100666521956,10.74,1.38,0.8,320,83.33,104.17,45,2,30.5,5,0.58,1.0015478560721394,1.9212384354460756,0.09002560766787544,0.976188097961947,1.9711490439616244,0.0879181237495102,1.5,0.07,0.018,5.15,-2.56,0.63,8.965779365415019,9.198695538487579,9.5,10,8.461599960979129,8.461599960979129,16.923199921958258,0.5,0.5,1.3482374985586492,1.3140993626410826,0.5392949994234597,0.5256397450564331,0.04685811297907601,0.04460247388133165,0.1,0.1,-0.36837,0.4,0.4,1.2,1246779915.0668225,1126826.7530169315,178950.1272078985,212887.93069425106,0.014594421013711195,0.06285813861608884,1.2237037037037035,1860.46875,221.6754,14.353291761140692,0,1,0.045,4.177486222100619,6.266229333150928,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",19890129.37390677,7394792.915093992,13242309.41338449,979880542.8433306,3499354.6466340907,166051534.46880323,5775999.494002256,33804802.59050795,17240449.321159054,501.49669010724557,-6370.932572819003,12305.819653227862,-601.9455727576116,32552.8842674665,-6369.615706865474,19320.30365938326,0.0
W1,3783.68047783779,3308.68047783779,154.30060370468968,168.46310963255192,319.08786332802447,147.62913005039132,177.27757363427656,353.5728248294755,1644.6974146607333,343.65195799764723,10.74,1.38,0.8,320,83.33,104.17,45,2,30.5,5,0.58,1.0510395302536157,2.016176791207657,0.09447423986819936,1.0244266149646608,2.068553741755566,0.09226261423878347,1.5,0.07,0.018,5.15,-2.56,0.63,9.408825025635732,9.653250794859307,9.5,10,9.318525090845183,9.318525090845183,18.637050181690366,0.5,0.5,1.4148609061106365,1.3790358278370436,0.5659443624442546,0.5516143311348175,0.04685811297907602,0.04460247388133164,0.1,0.1,-0.36837,0.4,0.4,1.2,1349967637.9535298,1240943.015439936,197072.80633529028,229433.99595040875,0.01390719440720707,0.06285813861608884,1.2237037037037035,1860.46875,221.6754,14.666938601615785,0,1,0.045,4.177486222100619,6.266229333150928,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",21904447.20686839,8143680.112352395,14583387.668811481,1056038770.09582,3853742.1086794254,182867944.2961796,6360947.865389386,37228290.46319808,18986428.13623102,501.49669010724557,-6370.932572819003,12305.819653227862,-601.9455727576116,32552.8842674665,-6369.615706865474,19320.30365938326,0.0
W1,3972.1090055356453,3497.1090055356453,162.42405772393948,177.33217619601788,326.69573305129103,157.5472191135116,189.709628922831,378.3680474664831,1740.707107338606,364.3250357229655,10.74,1.38,0.8,320,83.33,104.17,45,2,30.5,5,0.58,1.0872685806995777,2.0856738639381325,0.09773074155391903,1.0597383253651114,2.1398562339103204,0.09544288178278983,1.5,0.07,0.018,5.15,-2.56,0.63,9.73314469837795,9.985995758248162,9.5,10,9.97201112837503,9.97201112837503,19.94402225675006,0.5,0.5,1.46363078171097,1.4265708226068807,0.585452312684388,0.5706283290427523,0.046858112979076015,0.04460247388133167,0.1,0.1,-0.36837,0.4,0.4,1.2,1428772393.703528,1327967.402459817,210893.0542888487,242076.7837420881,0.01344379055586399,0.06285813861608884,1.2237037037037035,1860.46875,221.6754,14.875777639795373,0,1,0.045,4.177486222100619,6.266229333150928,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",23440554.076780777,8714777.061241882,15606086.017374804,1114230992.2850432,4123995.8919457244,195692039.0047662,6807026.034945534,39839022.073794514,20317901.257635202,501.49669010724557,-6370.932572819003,12305.819653227862,-601.9455727576116,32552.8842674665,-6369.615706865474,19320.30365938326,0.0
W1,4114.956366243419,3639.9563662434193,168.51095151173047,183.97775651699214,332.32850101419484,165.0843602214258,199.15723061050394,397.21090022046724,1813.738021210642,379.94864493746303,10.74,1.38,0.8,320,83.33,104.17,45,2,30.5,5,0.58,1.114012823849084,2.1369765226720414,0.10013468733299953,1.0858053891536916,2.192491651175724,0.09779055160660297,1.5,0.07,0.018,5.15,-2.56,0.63,9.972557105802858,10.23162770548671,9.5,10,10.468620550368325,10.468620550368325,20.93724110073665,0.5,0.5,1.4996326474891517,1.4616611007838158,0.5998530589956607,0.5846644403135264,0.04685811297907602,0.044602473881331664,0.1,0.1,-0.36837,0.4,0.4,1.2,1488716167.8096948,1394100.6142735276,221395.59750149868,251696.9085250133,0.013121043819219809,0.06285813861608884,1.2237037037037035,1860.46875,221.6754,15.019713246284496,0,1,0.045,4.177486222100619,6.266229333150928,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",24607901.351208612,9148775.81469985,16383274.215110902,1158510501.5262303,4329372.238786566,205437566.6749386,7146018.162129256,41823018.42820583,21329739.398384973,501.49669010724557,-6370.932572819003,12305.819653227862,-601.9455727576116,32552.8842674665,-6369.615706865474,19320.30365938326,0.0
W1,4223.062070268106,3748.0620702681063,173.07868886183178,188.9647443803418,336.5196182987277,170.79825464973678,206.31944210040322,411.4956362792656,1869.1385339227154,391.74715177508375,10.74,1.38,0.8,320,83.33,104.17,45,2,30.5,5,0.58,1.1338672937763812,2.175062741426808,0.10191933567435617,1.1051571326743477,2.2315672871308943,0.09953342163868988,1.5,0.07,0.018,5.15,-2.56,0.63,10.150292793325104,10.413980673277505,9.5,10,10.84509934633974,10.84509934633974,21.69019869267948,0.5,0.5,1.5263598185451284,1.4877115247539294,0.6105439274180514,0.5950846099015717,0.046858112979076015,0.044602473881331664,0.1,0.1,-0.36837,0.4,0.4,1.2,1534188908.6437647,1444236.0947028226,229357.5584475188,258996.31061322958,0.012891289092759883,0.06285813861608884,1.2237037037037035,1860.46875,221.6754,15.121331041337392,0,1,0.045,4.177486222100619,6.266229333150928,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",25492865.42336236,9477789.564578233,16972459.325116392,1192108188.615902,4485067.7136515025,212825635.36813018,7403007.542986471,43327082.84108468,22096812.248953186,501.49669010724557,-6370.932572819003,12305.819653227862,-601.9455727576116,32552.8842674665,-6369.615706865474,19320.30365938326,0.0
W1,4304.773639963707,3829.7736399637074,176.5099146286383,192.7109057604609,339.6486171058751,175.12248281072425,211.73974466429328,422.30620667266857,1911.0842277339664,400.6515405870808,10.74,1.38,0.8,320,83.33,104.17,45,2,30.5,5,0.58,1.1486648815052614,2.2034484986567278,0.10324943869363237,1.1195800371136142,2.260690459556336,0.10083238717613716,1.5,0.07,0.018,5.15,-2.56,0.63,10.282759660398062,10.549888811262901,9.5,10,11.130015393001017,11.130015393001017,22.260030786002034,0.5,0.5,1.5462796481801597,1.5071269730375576,0.618511859272064,0.6028507892150231,0.046858112979076015,0.044602473881331664,0.1,0.1,-0.36837,0.4,0.4,1.2,1568617934.1240394,1482178.212650053,235383.10480148604,264523.83373371436,0.012725218044223524,0.06285813861608884,1.2237037037037035,1860.46875,221.6754,15.19431133009302,0,1,0.045,4.177486222100619,6.266229333150928,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",26162598.931792025,9726784.455965606,17418349.755309965,1217550271.3972812,4602896.764467252,218416864.80004194,7597494.986134073,44465346.37950159,22677326.65354581,501.49669010724557,-6370.932572819003,12305.819653227862,-601.9455727576116,32552.8842674665,-6369.615706865474,19320.30365938326,0.0
W1,4366.478991069096,3891.478991069096,179.0892452191756,195.52698062743872,341.99020186814136,178.39094559854826,215.83667400503734,430.4773636353765,1942.799117066278,407.3684630491,10.74,1.38,0.8,320,83.33,104.17,45,2,30.5,5,0.58,1.1597243368260466,2.224663511507657,0.10424353416265379,1.1303594607713439,2.282456603480598,0.10180321104201633,1.5,0.07,0.018,5.15,-2.56,0.63,10.381763053702398,10.651464149576125,9.5,10,11.345368852970543,11.345368852970543,22.690737705941086,0.5,0.5,1.5611673764966014,1.521637735653732,0.6244669505986407,0.6086550942614929,0.04685811297907602,0.04460247388133165,0.1,0.1,-0.36837,0.4,0.4,1.2,1594649515.288001,1510856.7180352614,239937.5069516615,268703.6398385049,0.012603866809332218,0.06285813861608884,1.2237037037037035,1860.46875,221.6754,15.247376862164264,0,1,0.045,4.177486222100619,6.266229333150928,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",26668816.21926312,9914986.952818152,17755375.51442295,1236789082.4542794,4691957.714439874,222642989.0136674,7744498.092113058,45325701.54105784,23116107.7859395,501.49669010724557,-6370.932572819003,12305.819653227862,-601.9455727576116,32552.8842674665,-6369.615706865474,19320.30365938326,0.0
W1,4413.0451759439775,3938.0451759439775,181.02917196430417,197.6449638633901,343.7454939173338,180.85915964276384,218.9305132785497,436.6478987407408,1966.7545770446009,412.43339749229443,10.74,1.38,0.8,320,83.33,104.17,45,2,30.5,5,0.58,1.1680066046558113,2.2405511310464843,0.10498799803397273,1.1384320168958781,2.2987569571936,0.10253024714275699,1.5,0.07,0.018,5.15,-2.56,0.63,10.455905278216925,10.727532466903465,9.5,10,11.507995282846796,11.507995282846796,23.015990565693592,0.5,0.5,1.5723165831905153,1.5325046381290666,0.6289266332762061,0.6130018552516266,0.04685811297907602,0.044602473881331664,0.1,0.1,-0.36837,0.4,0.4,1.2,1614312156.8382084,1532513.592949848,243376.81162783696,271861.0679556913,0.012514493512820482,0.06285813861608884,1.2237037037037035,1860.46875,221.6754,15.286312044056404,0,1,0.045,4.177486222100619,6.266229333150928,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",27051091.52709756,10057110.047386752,18009884.060459934,1251322092.2278624,4759213.027344919,225834391.1540033,7855509.033425385,45975407.78849544,23447457.972132675,501.49669010724557,-6370.932572819003,12305.819653227862,-601.9455727576116,32552.8842674665,-6369.615706865474,19320.30365938326,0.0
W1,4448.16906332516,3973.16906332516,182.48873584618124,199.23849405280498,345.06290459244207,182.72180703775908,221.26529120303604,441.304517224324,1984.8357668369947,416.25154653161815,10.74,1.38,0.8,320,83.33,104.17,45,2,30.5,5,0.58,1.1742181735890815,2.252466592605978,0.10554633407792532,1.1444863053909968,2.310981962808744,0.10307551263640558,1.5,0.07,0.018,5.15,-2.56,0.63,10.511510765494565,10.78458249310747,9.5,10,11.630721955064013,11.630721955064013,23.261443910128026,0.5,0.5,1.5806783106006865,1.5406546418724958,0.6322713242402747,0.6162618567489984,0.04685811297907602,0.044602473881331664,0.1,0.1,-0.36837,0.4,0.4,1.2,1629153197.4198053,1548857.0384212523,245972.2963714258,274244.38770596473,0.01244829232392026,0.06285813861608884,1.2237037037037035,1860.46875,221.6754,15.315070100865402,0,1,0.045,4.177486222100619,6.266229333150928,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",27339577.085300084,10164363.797314672,18201949.931485508,1262292036.0995102,4809967.512627813,228242795.27803382,7939283.875050632,46465711.15263757,23697512.68784516,501.49669010724557,-6370.932572819003,12305.819653227862,-601.9455727576116,32552.8842674665,-6369.615706865474,19320.30365938326,0.0
W1,4474.652470774576,3999.6524707745757,183.58717839077852,200.43775732444914,346.05255618367937,184.1267625330064,223.0263647610283,444.8169059594968,1998.4757538131053,419.12919180903174,10.74,1.38,0.8,320,83.33,104.17,45,2,30.5,5,0.58,1.1788817749873215,2.261412635672795,0.10596552877466589,1.149031821764478,2.320160409332119,0.10348489405773562,1.5,0.07,0.018,5.15,-2.56,0.63,10.553258966473042,10.827415243549886,9.5,10,11.723292085625646,11.723292085625646,23.446584171251292,0.5,0.5,1.5869562355598559,1.5467736062214126,0.6347824942239424,0.6187094424885651,0.046858112979076015,0.044602473881331664,0.1,0.1,-0.36837,0.4,0.4,1.2,1640348898.7297966,1561184.5533271981,247930.0155635464,276042.3835401294,0.012399047459236383,0.06285813861608884,1.2237037037037035,1860.46875,221.6754,15.33641602425779,0,1,0.045,4.177486222100619,6.266229333150928,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",27557175.634217698,10245263.030176457,18346821.151702434,1270567851.1176083,4848250.5463347025,230059403.5195747,8002473.464460371,46835536.59981594,23886123.66590613,501.49669010724557,-6370.932572819003,12305.819653227862,-601.9455727576116,32552.8842674665,-6369.615706865474,19320.30365938326,0.0
