name,mtom,oem,wing1_weight,wing2_weight,fuselage_weight,lg_weight,powertrain_weight,nacelle_weight,h2_weight,misc_weight,l_fuse,w_fuse,eff,diskloading,v_cruise,v_max,v_stall,loadfactor,h_hover,roc,cL_cruise,mac1,y_mac1,x_lemac1,mac2,y_mac2,x_lemac2,cLmax,cd,cd0,clalpha,e,b1,b2,A1,A2,S1,S2,S,S1/S,S2/S,c_root1,c_root2,c_tip1,c_tip2,sweep_le1,sweep_le2,sweep1_1/4,sweep2_1/4,sweep_m,taper1,taper2,StotS,mission_energy,power_hover,power_climb,power_cruise,WP_hover,WP_cruise,TW,WS,ld_climb,ld_cr,ducted_bool,tandem_bool,G,n_max,n_ult,A_tot,l_cockpit,l_cabin,l_tail,l_fuselage,d_fuselage,upsweep,h_wings,x_rotor_loc,y_rotor_loc,takeoff_energy,trans2hor_energy,climb_energy,cruise_energy,descend_energy,hor_loiter_energy,trans2ver_energy,ver_loiter_energy,land_energy
W1,3565.8542365953986,3090.8542365953986,143.43440798800611,156.59955838027128,308.7347327201135,134.6234049540089,160.9752504309902,321.0585121157856,1549.1073633410033,316.32100666521956,10.74,1.38,0.8,320,83.33,104.17,45,2,30.5,5,0.58,1.0015478560721394,1.9212384354460756,0.09002560766787544,0.976188097961947,1.9711490439616244,0.0879181237495102,1.5,0.07,0.018,5.15,0.63,8.965779365415019,9.198695538487579,9.5,10,8.461599960979129,8.461599960979129,16.923199921958258,0.5,0.5,1.3482374985586492,1.3140993626410826,0.5392949994234597,0.5256397450564331,0.04685811297907601,0.04460247388133165,0.1,0.1,-0.36837,0.4,0.4,1.2,1271507323.8302953,1126826.7530169315,178950.1272078985,218260.18440572033,0.014594421013711195,0.06285813861608884,1.2237037037037035,1860.46875,221.6754,14.0,0,1,0.045,4.177486222100619,6.266229333150928,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",19890129.37390677,7394792.915093992,13242309.41338449,1004607951.6068034,3499354.6466340907,166051534.46880323,5775999.494002256,33804802.59050795,17240449.321159054
W1,3870.7716156712154,3395.7716156712154,155.2948125858711,169.54857213708416,320.02478207148596,148.83416946381593,178.78805781295654,356.58542336051073,1720.524714786643,346.1710834528478,10.74,1.38,0.8,320,83.33,104.17,45,2,30.5,5,0.58,1.055507696079516,2.0247479362294563,0.09487586754999086,1.0287816443050164,2.0773475510005146,0.0926548398859487,1.5,0.07,0.018,5.15,0.63,9.448823702404129,9.694288571335733,9.5,10,9.397923090433059,9.397923090433059,18.795846180866118,0.5,0.5,1.4208757447224254,1.3848983673336759,0.5683502978889702,0.5539593469334704,0.046858112979076015,0.04460247388133164,0.1,0.1,-0.36837,0.4,0.4,1.2,1412206685.8968766,1251516.4046906957,198751.95474597203,242411.88855628006,0.01384832259507795,0.06285813861608884,1.2237037037037035,1860.46875,221.6754,14.0,0,1,0.045,4.177486222100619,6.266229333150928,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",22091082.889377017,8213067.907513198,14707644.65120193,1115773412.6851523,3886577.714247235,184426060.93205452,6415145.984841879,37545492.140720874,19148200.991767645
W1,4131.360985441521,3656.3609854415204,165.2463432531441,180.413505660099,329.31441443847984,161.0308646268486,194.07628396614692,387.07716124252227,1867.6473540925074,371.55505816177237,10.74,1.38,0.8,320,83.33,104.17,45,2,30.5,5,0.58,1.0997105335508626,2.109540879263434,0.09884910485450535,1.07186524093404,2.164343274962965,0.09653506439177148,1.5,0.07,0.018,5.15,0.63,9.844524103229357,10.100268616493835,9.5,10,10.20154261253303,10.20154261253303,20.40308522506606,0.5,0.5,1.480379564395392,1.4428955166419768,0.5921518257581568,0.5771582066567907,0.046858112979076015,0.044602473881331664,0.1,0.1,-0.36837,0.4,0.4,1.2,1532964948.2391298,1358533.9877630284,215747.30035078834,263140.60958946875,0.013291689613720134,0.06285813861608884,1.2237037037037035,1860.46875,221.6754,14.0,0,1,0.045,4.177486222100619,6.266229333150928,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",23980098.718023676,8915370.069735534,15965300.225958338,1211183567.4656994,4218920.26432697,200196394.60289204,6963707.246828397,40756019.63289085,20785570.012774333
W1,4353.346163926681,3878.3461639266807,173.60076077805246,189.53473475203654,336.9967571431034,171.45443941766084,207.14195188655484,413.13609819770005,1993.3817283412313,393.0996934103411,10.74,1.38,0.8,320,83.33,104.17,45,2,30.5,5,0.58,1.136125174311137,2.1793939641833826,0.1021222885996213,1.1073578423970885,2.2360110279171983,0.09973162347104637,1.5,0.07,0.018,5.15,0.63,10.170505166189118,10.434718130280258,9.5,10,10.888334245839951,10.888334245839951,21.776668491679903,0.5,0.5,1.5293992731111457,1.4906740186114653,0.6117597092444583,0.5962696074445861,0.04685811297907602,0.04460247388133165,0.1,0.1,-0.36837,0.4,0.4,1.2,1636167722.6224828,1449993.663205884,230271.91161962127,280855.8489325171,0.012865669564763689,0.06285813861608884,1.2237037037037035,1860.46875,221.6754,14.0,0,1,0.045,4.177486222100619,6.266229333150928,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",25594494.872697324,9515573.568783507,17040121.459851973,1292723269.0704675,4502947.812824298,213674082.64024442,7432520.254387162,43499809.89617652,22184903.047050025
W1,4541.970530130655,4066.9705301306544,180.61685598101997,197.19480339073118,343.37283386676677,180.33384655706723,218.2720475919019,435.3346160276006,2100.4895798008865,411.35594691468054,10.74,1.38,0.8,320,83.33,104.17,45,2,30.5,5,0.58,1.1662488062105336,2.237179200375014,0.10482999572561137,1.1367187269013035,2.2952974293199393,0.1023759436411303,1.5,0.07,0.018,5.15,0.63,10.440169601750066,10.71138800349305,9.5,10,11.473383296137486,11.473383296137486,22.946766592274972,0.5,0.5,1.5699503160526416,1.5301982862132932,0.6279801264210567,0.6120793144853174,0.04685811297907602,0.044602473881331664,0.1,0.1,-0.36837,0.4,0.4,1.2,1724081847.1005673,1527904.3331433132,242644.82010695298,295946.7199490141,0.012533355660522697,0.06285813861608884,1.2237037037037035,1860.46875,221.6754,14.0,0,1,0.045,4.177486222100619,6.266229333150928,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",26969731.39465088,10026861.811204987,17955716.68791452,1362183528.4445,4744898.994883091,225155161.0402424,7831882.435779394,45837129.9942994,23376936.29709269
W1,4701.929390178452,4226.929390178452,186.51040207446422,203.62928956788556,348.67881380094076,187.8788212052262,227.72946840953108,454.1970526321801,2191.500838907978,426.80470358024644,10.74,1.38,0.8,320,83.33,104.17,45,2,30.5,5,0.58,1.1912468551272353,2.285132188441187,0.10707698225810036,1.1610838110825599,2.3444961569936305,0.10457032860719086,1.5,0.07,0.018,5.15,0.63,10.663950212725538,10.940982065970275,9.5,10,11.970508856788319,11.970508856788319,23.941017713576638,0.5,0.5,1.6036015357482012,1.5629974379957539,0.6414406142992806,0.6251989751983016,0.046858112979076015,0.044602473881331664,0.1,0.1,-0.36837,0.4,0.4,1.2,1798783888.5756686,1594106.2788667176,253158.27887680844,308769.675068709,0.012270345994185574,0.06285813861608884,1.2237037037037035,1860.46875,221.6754,14.0,0,1,0.045,4.177486222100619,6.266229333150928,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",28138291.92244931,10461311.630478587,18733712.636883825,1421205024.7903314,4950488.794524573,234910817.48233485,8171226.886003503,47823188.36600153,24389826.06666078
W1,4837.363753312272,4362.363753312272,191.4617940468058,209.0351458551799,353.10313920639345,194.27717560713808,235.7496318880095,470.1929386235459,2268.6809909279045,439.8629371572948,10.74,1.38,0.8,320,83.33,104.17,45,2,30.5,5,0.58,1.2120419810050524,2.325022838562576,0.10894618284829721,1.1813523926131098,2.385423100468779,0.1063957715345839,1.5,0.07,0.018,5.15,0.63,10.850106579958688,11.1319744688543,9.5,10,12.392085557522401,12.392085557522401,24.784171115044803,0.5,0.5,1.631594974429878,1.5902820669791862,0.6526379897719513,0.6361128267916745,0.04685811297907602,0.044602473881331664,0.1,0.1,-0.36837,0.4,0.4,1.2,1862133357.353624,1650247.4232160666,262073.99275741598,319643.9079404707,0.012059822436823416,0.06285813861608884,1.2237037037037035,1860.46875,221.6754,14.0,0,1,0.045,4.177486222100619,6.266229333150928,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",29129264.68850944,10829737.5090516,19393475.464048784,1471256942.5981565,5124834.827595104,243183893.30440307,8459000.690172026,49507422.696481995,25248785.575205818
W1,4951.886778186728,4476.886778186728,195.62210818104933,213.57731509674863,356.79799330335464,199.69455013249086,242.54016373233688,483.7363749255704,2334.0280728730168,450.8901999421604,10.74,1.38,0.8,320,83.33,104.17,45,2,30.5,5,0.58,1.2293738871691957,2.3582701008678324,0.11050408682164188,1.198245445111653,2.4195340718600686,0.10791720524513077,1.5,0.07,0.018,5.15,0.63,11.00526047071655,11.291159002013652,9.5,10,12.749027160875395,12.749027160875395,25.49805432175079,0.5,0.5,1.6549263865739172,1.613022714573379,0.6619705546295669,0.6452090858293517,0.046858112979076015,0.044602473881331664,0.1,0.1,-0.36837,0.4,0.4,1.2,1915770242.2141724,1697781.146126358,269622.77143052383,328850.9303155727,0.011889801165822979,0.06285813861608884,1.2237037037037035,1860.46875,221.6754,14.0,0,1,0.045,4.177486222100619,6.266229333150928,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",29968303.960321005,11141677.242878437,19952085.085858762,1513635024.1242657,5272450.557957024,250188561.5971429,8702653.726224642,50933434.38379074,25976051.53573328
W1,5048.626381687809,4573.626381687809,199.11800793536221,217.39408657680292,359.88736389835844,204.27547112746913,248.28222379245818,495.18867740341227,2389.2854338404018,460.19511711354323,10.74,1.38,0.8,320,83.33,104.17,45,2,30.5,5,0.58,1.2438412752806722,2.386022446331674,0.11180450936082093,1.2123465107745623,2.448007377525559,0.10918718511739096,1.5,0.07,0.018,5.15,0.63,11.134771416214477,11.424034428452607,9.5,10,13.050856262247049,13.050856262247049,26.101712524494097,0.5,0.5,1.6744017167239817,1.6320049183503726,0.6697606866895928,0.6528019673401491,0.04685811297907602,0.044602473881331664,0.1,0.1,-0.36837,0.4,0.4,1.2,1961125484.0962017,1737975.5665472073,276006.0034829232,336636.3699047975,0.01175150830526854,0.06285813861608884,1.2237037037037035,1860.46875,221.6754,14.0,0,1,0.045,4.177486222100619,6.266229333150928,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",30677793.879813436,11405452.853954954,20424444.257736318,1549469844.5675159,5397274.122441874,256111695.00704518,8908686.243105302,52139266.99641622,26591026.168172274
W1,5130.274433522626,4655.274433522626,202.0557672781782,220.60148863719954,362.47293254801275,208.14505526751236,253.13264242316123,504.8626377454079,2435.9622937675713,468.0416158555825,10.74,1.38,0.8,320,83.33,104.17,45,2,30.5,5,0.58,1.2559322928876293,2.409216273375789,0.11289132832887122,1.2241313769780102,2.4718037419748278,0.11024856184121012,1.5,0.07,0.018,5.15,0.63,11.24300927575368,11.535084129215862,9.5,10,13.305816586808769,13.305816586808769,26.611633173617538,0.5,0.5,1.690678086579501,1.6478691613165521,0.6762712346318005,0.6591476645266209,0.04685811297907602,0.044602473881331664,0.1,0.1,-0.36837,0.4,0.4,1.2,1999437850.7244225,1771928.4969621287,281398.0313173385,343212.8669870992,0.011638375061834997,0.06285813861608884,1.2237037037037035,1860.46875,221.6754,14.0,0,1,0.045,4.177486222100619,6.266229333150928,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",31277112.43234862,11628268.72924964,20823454.31748305,1579740144.579349,5502714.772032587,261115069.46546605,9082725.516109262,53157854.90886386,27110506.00352057
