name,mtom,oem,wing1_weight,wing2_weight,fuselage_weight,lg_weight,nacelle_weight,powertrain_weight,h2_weight,misc_weight,l_fuse,w_fuse,eff,diskloading,v_cruise,v_max,v_stall,loadfactor,h_hover,roc,cL_cruise,mac1,y_mac1,x_lemac1,mac2,y_mac2,x_lemac2,cLmax,cd,cd0,clalpha,cm,e,b1,b2,A1,A2,S1,S2,S,S1/S,S2/S,c_root1,c_root2,c_tip1,c_tip2,sweep_le1,sweep1_1/4,sweep2_1/4,sweep_le2,sweep_m,taper1,taper2,StotS,mission_energy,WP_hover,power_hover,power_climb,power_cruise,WP_cruise,TW,WS,ld_climb,ld_cr,ducted_bool,tandem_bool,G,n_max,n_ult,A_tot,l_cockpit,l_cabin,l_tail,l_fuselage,d_fuselage,upsweep,h_wings,x_rotor_loc,y_rotor_loc,takeoff_energy,trans2hor_energy,climb_energy,cruise_energy,descend_energy,hor_loiter_energy,trans2ver_energy,ver_loiter_energy,land_energy,Vx_cr,Vy_cr,Vz_cr,Mx_cr,Mz_cr,T_cr,Vx_vf,Vy_vf,Vz_vf,Mx_vf,Mz_vf,T_vf,thickness_to_chord,i_xx,i_zz,i_xz,j_y,area_enclosed,area,max_shear_cr,max_axial_cr,max_shear_vf,max_axial_vf,crit_buck_stress
L1,4136.996217714918,3661.996217714918,43.63133841890529,198.80189051937373,296.3766189861336,169.9023641455422,378.3513722043334,370.2469701755973,1801.9333783241598,402.7522849408724,10,1.7,0.6,2000.0,83.33,104.17,45,2,30.5,5,0.4546065494115993,1.5367645579675722,0.9309246841534331,0.13461401232578377,1.7181562112232416,2.0816123328281577,0.15231969778683033,1.5,0.03500003465955621,0.016280957405167384,5.17,1.11,0.780952380952381,4.344315192716021,9.714190886531402,3.0,6.0,6.29102483122108,15.727584096661626,22.018608927882706,0.285714,0.714286,2.068721520340963,2.312902592031287,0.8274886081363851,0.9251610368125148,0.14460247388133168,0.1,0.1,0.07317390245276026,-0.209,0.4,0.4,1.2,2578579459.1393666,0.00700687785494447,2591728.791229181,324542.20763777755,447688.6164545196,0.03894926905158697,1.2237037037037035,1860.46875,251.9211,12.988745692212511,1,1,0.045,3.078278478824067,4.6174177182361005,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",45747778.726063706,16572965.523830622,24016123.36519554,2060621112.1769373,4647353.582821721,296421761.3393592,13147050.182476517,77751863.73687543,39653450.50580647,477.6125777021106,0.0,-11364.921963732802,28572.650279261365,-1090.5884025637883,-23747.275255611545,0.0,0.0,-10424.408752057077,27853.874739171577,0.0,0.0,0.17,4.263346668145125e-05,0.0001880888235946378,0.0,0.00023072229027608902,0.19670808171832374,0.006880232617668375,35205786.83631973,74099854.94950911,13836419.999282565,69579997.65612295,2746843.154431918
L1,4104.87109037311,3629.87109037311,57.60458608716168,228.34818469743456,294.3813681403571,167.04860027812396,371.88943630507447,363.923450918272,1749.7478973346347,396.92756661205175,10,1.7,0.6,2000.0,83.33,104.17,45,2,30.5,5,0.4546065494115993,1.3995019027128044,1.0047705968194491,0.12286439887573743,1.629644161116394,2.1571892260931755,0.14479190783949575,1.5,0.03320692596058107,0.01654489016271849,5.17,1.11,0.780952380952381,4.688929451824096,10.066883055101485,3.5555555555555554,6.555555555555555,6.183579207426587,15.458969661115335,21.642548868541923,0.285714,0.714286,1.8839448690364673,2.193751755348992,0.753577947614587,0.8775007021395969,0.1222810453099031,0.1,0.1,0.06712063368762707,-0.209,0.4,0.4,1.2,2430773466.1522417,0.007067491298716858,2547464.156427904,318999.2888156761,417498.36569821544,0.04111478888165915,1.2237037037037035,1860.46875,251.9211,13.69011241664612,1,1,0.045,3.078278478824067,4.6174177182361005,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",44966443.60908242,16289912.65619682,23605947.372360032,1921661429.4782012,4567980.536601694,291359117.0313431,12922509.18227202,76423924.69283712,38976201.59334693,477.6125777021106,0.0,-11364.921963732802,28572.650279261365,-1090.5884025637883,-23747.275255611545,0.0,0.0,-10424.408752057077,27853.874739171577,0.0,0.0,0.17,4.263346668145125e-05,0.0001880888235946378,0.0,0.00023072229027608902,0.19670808171832374,0.006880232617668375,35205786.83631973,74099854.94950911,13836419.999282565,69579997.65612295,2746843.154431918
L1,4093.155367509029,3618.155367509029,73.692220309761,261.8780073364045,294.03813460781384,166.55975523066593,370.782517334865,362.8402424907138,1692.4354514118431,395.92903878696205,10,1.7,0.6,2000.0,83.33,104.17,45,2,30.5,5,0.4546065494115993,1.2995719340251766,1.07881131702731,0.11434583868995558,1.562361422824397,2.243390760978621,0.13911981339277962,1.5,0.03170220988361917,0.01668988060039645,5.17,1.11,0.780952380952381,5.034452812794113,10.469156884566896,4.111111111111111,7.111111111111111,6.165173949142028,15.41295645098547,21.5781304001275,0.285714,0.714286,1.749423757341584,2.1031788384174575,0.6997695029366336,0.8412715353669831,0.10599243527129308,0.1,0.1,0.06201318816704596,-0.209,0.4,0.4,1.2,2336720655.6925063,0.007078032936743523,2539881.6974349967,318049.79595623456,397393.7653668601,0.043241272941880675,1.2237037037037035,1860.46875,251.9211,14.339900943198876,1,1,0.045,3.078278478824067,4.6174177182361005,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",44832602.191191435,16241426.16644504,23535684.90076136,1829123977.3920615,4554384.064591759,290491894.40466726,12884045.678982757,76196450.9230499,38860189.97075545,477.6125777021106,0.0,-11364.921963732802,28572.650279261365,-1090.5884025637883,-23747.275255611545,0.0,0.0,-10424.408752057077,27853.874739171577,0.0,0.0,0.17,4.263346668145125e-05,0.0001880888235946378,0.0,0.00023072229027608902,0.19670808171832374,0.006880232617668375,35205786.83631973,74099854.94950911,13836419.999282565,69579997.65612295,2746843.154431918
L1,4255.6460689603455,3780.6460689603455,94.14988073457963,306.3269835684503,298.33825396213393,172.72803937500498,384.749705441845,376.5082491596288,1739.332641053364,408.5123156653389,10,1.7,0.6,2000.0,83.33,104.17,45,2,30.5,5,0.4546065494115993,1.2425276564251473,1.170843368554466,0.10956994106162622,1.5327681671080884,2.3728430279269443,0.13678479562883247,1.5,0.030184682078971767,0.01652481489333668,5.17,1.11,0.780952380952381,5.4639357199208405,11.073267463659073,4.666666666666667,7.666666666666667,6.3974129038771865,15.993554650660519,22.390967554537706,0.285714,0.714286,1.6726333836492369,2.0633417634147344,0.6690533534596947,0.8253367053658938,0.09358206571806636,0.1,0.1,0.05764595214220122,-0.209,0.4,0.4,1.2,2333888629.73645,0.006948371904439831,2635557.7441174015,330030.56937413383,392624.2915249284,0.04552828757957722,1.2237037037037035,1860.46875,251.9211,15.060836096342458,1,1,0.045,3.078278478824067,4.6174177182361005,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",46521423.42427089,16853232.397285994,24422262.1336859,1807171043.742567,4725945.386842926,301434575.7421442,13369381.101134695,79066732.32352205,40324033.484996244,477.6125777021106,0.0,-11364.921963732802,28572.650279261365,-1090.5884025637883,-23747.275255611545,0.0,0.0,-10424.408752057077,27853.874739171577,0.0,0.0,0.17,4.263346668145125e-05,0.0001880888235946378,0.0,0.00023072229027608902,0.19670808171832374,0.006880232617668375,35205786.83631973,74099854.94950911,13836419.999282565,69579997.65612295,2746843.154431918
L1,4432.67699844102,3957.6769984410203,117.7625132085505,356.2532696302313,303.24490212555503,179.88210239607102,400.9490473667987,392.3605962295199,1784.1604770524054,423.06409043188825,10,1.7,0.6,2000.0,83.33,104.17,45,2,30.5,5,0.4546065494115993,1.1990498120050637,1.2643826543258525,0.10597069231194085,1.5109169829645999,2.508509606332252,0.13513061085849767,1.5,0.02885662935344526,0.016325676811251088,5.17,1.11,0.780952380952381,5.900452386853979,11.706378162883842,5.222222222222222,8.222222222222221,6.666766921825049,16.66694063827018,23.33370756009523,0.285714,0.714286,1.6141055161606628,2.033926707836961,0.6456422064642652,0.8135706831347845,0.08381220032510066,0.1,0.1,0.05386888314774092,-0.209,0.4,0.4,1.2,2349294865.799445,0.00680655895626778,2746524.1736066393,343926.0395027961,391153.34715258074,0.047775752162444264,1.2237037037037035,1860.46875,251.9211,15.753972643285268,1,1,0.045,3.078278478824067,4.6174177182361005,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",48480142.12951297,17562813.8999692,25450526.92320691,1800400581.1551955,4924924.6301206,314126052.0223994,13932279.974659707,82395725.20819917,42021819.856181584,477.6125777021106,0.0,-11364.921963732802,28572.650279261365,-1090.5884025637883,-23747.275255611545,0.0,0.0,-10424.408752057077,27853.874739171577,0.0,0.0,0.17,4.263346668145125e-05,0.0001880888235946378,0.0,0.00023072229027608902,0.19670808171832374,0.006880232617668375,35205786.83631973,74099854.94950911,13836419.999282565,69579997.65612295,2746843.154431918
L1,4588.495261790831,4113.495261790831,143.6864057251615,408.8972211875755,307.4041089169379,186.04196682435298,414.8971702434449,406.0099460511618,1810.9993826189457,435.559060223251,10,1.7,0.6,2000.0,83.33,104.17,45,2,30.5,5,0.4546065494115993,1.159605124448257,1.3528726451896331,0.10271165406129425,1.4875396837034247,2.6365687342563913,0.13333108091440796,1.5,0.027749428868657826,0.01617503758922657,5.17,1.11,0.780952380952381,6.3134056775516205,12.303987426529824,5.777777777777778,8.777777777777779,6.898688870078257,17.246746320630834,24.14543519070909,0.285714,0.714286,1.5610068982957306,2.002457266523841,0.6244027593182923,0.8009829066095364,0.075921155200013,0.1,0.1,0.05056992415257939,-0.209,0.4,0.4,1.2,2359538868.5446124,0.0066911685086417675,2842069.6223581326,355890.4591490529,389230.42955771356,0.049854991231680267,1.2237037037037035,1860.46875,251.9211,16.382555171254864,1,1,0.045,3.078278478824067,4.6174177182361005,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",50166658.11936417,18173785.014491722,26335893.977029916,1791549776.2713454,5096251.77093882,325053796.58530366,14416952.91331521,85262088.67074397,43483665.22207943,477.6125777021106,0.0,-11364.921963732802,28572.650279261365,-1090.5884025637883,-23747.275255611545,0.0,0.0,-10424.408752057077,27853.874739171577,0.0,0.0,0.17,4.263346668145125e-05,0.0001880888235946378,0.0,0.00023072229027608902,0.19670808171832374,0.006880232617668375,35205786.83631973,74099854.94950911,13836419.999282565,69579997.65612295,2746843.154431918
L1,4875.861030656945,4400.861030656945,175.87117487372709,475.07444717152725,314.8265949987094,197.24997212837928,440.2760786598208,430.84523049266363,1908.5002133959217,458.21731893619625,10,1.7,0.6,2000.0,83.33,104.17,45,2,30.5,5,0.4546065494115993,1.140950172514896,1.4590997398507803,0.10128268466482876,1.4860546175227096,2.80064139456203,0.13348892667609868,1.5,0.026609948896686823,0.015856436431399626,5.17,1.11,0.780952380952381,6.809132119303642,13.069659841289472,6.333333333333334,9.333333333333334,7.320675823915658,18.30171518218015,25.622391006095807,0.285714,0.714286,1.5358944630008216,2.000458138972878,0.6143577852003287,0.8001832555891513,0.06941450395651963,0.1,0.1,0.04766369837112758,-0.209,0.4,0.4,1.2,2425803104.3647833,0.0064954562014508084,3015916.6134486455,377659.97703635524,396078.6143621068,0.05210257351539275,1.2237037037037035,1860.46875,251.9211,17.084082016715254,1,1,0.045,3.078278478824067,4.6174177182361005,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",53235310.09696127,19285460.047587417,27946838.300690286,1823070600.4990828,5407985.174388067,344937061.94740117,15298825.70944815,90477498.40345937,46143524.185764275,477.6125777021106,0.0,-11364.921963732802,28572.650279261365,-1090.5884025637883,-23747.275255611545,0.0,0.0,-10424.408752057077,27853.874739171577,0.0,0.0,0.17,4.263346668145125e-05,0.0001880888235946378,0.0,0.00023072229027608902,0.19670808171832374,0.006880232617668375,35205786.83631973,74099854.94950911,13836419.999282565,69579997.65612295,2746843.154431918
L1,5183.12091277536,4708.12091277536,212.84295358809626,549.6661818797406,322.84583366667107,209.664398696115,468.3867536959227,458.3537662779828,2003.1532184955188,483.2078064753128,10,1.7,0.6,2000.0,83.33,104.17,45,2,30.5,5,0.4546065494115993,1.1283608745952873,1.569578908892163,0.10038604891227103,1.4890839016910074,2.973395098568903,0.13405258866673272,1.5,0.025576483143543875,0.015535123821653183,5.17,1.11,0.780952380952381,7.324701574830093,13.875843793321545,6.888888888888889,9.88888888888889,7.7880851361752566,19.470240098763373,27.25832523493863,0.285714,0.714286,1.5189473311859638,2.0045360215071253,0.6075789324743855,0.8018144086028501,0.06395731259100908,0.1,0.1,0.045084014812310794,-0.209,0.4,0.4,1.2,2505361093.2933817,0.006297525016176001,3208476.3639458795,401772.74946070794,405002.49192902684,0.054347973042971946,1.2237037037037035,1860.46875,251.9211,17.774396380463784,1,1,0.045,3.078278478824067,4.6174177182361005,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",56634269.466130294,20516794.945385337,29731183.460092388,1864145423.1347523,5753273.326994558,366960547.0429951,16275622.630283233,96254290.91837639,49089688.368371956,477.6125777021106,0.0,-11364.921963732802,28572.650279261365,-1090.5884025637883,-23747.275255611545,0.0,0.0,-10424.408752057077,27853.874739171577,0.0,0.0,0.17,4.263346668145125e-05,0.0001880888235946378,0.0,0.00023072229027608902,0.19670808171832374,0.006880232617668375,35205786.83631973,74099854.94950911,13836419.999282565,69579997.65612295,2746843.154431918
L1,5464.047694962823,4989.047694962823,252.86968636297948,627.9285290152883,329.84589722461095,220.75594949843185,493.5019677212463,482.9310047428819,2075.7662621629597,505.4483982344242,10,1.7,0.6,2000.0,83.33,104.17,45,2,30.5,5,0.4546065494115993,1.1141626724500169,1.6748150428815958,0.09934103023152464,1.4872787990828034,3.1366328519118105,0.13418128177932795,1.5,0.02470290965875094,0.015285237251263397,5.17,1.11,0.780952380952381,7.815803533447447,14.637619975588446,7.444444444444445,10.444444444444445,8.205687520314125,20.51424752072035,28.719935041034475,0.285714,0.714286,1.499834366759638,2.0021060756883893,0.5999337467038552,0.8008424302753557,0.059314627399455325,0.1,0.1,0.042778765674644725,-0.209,0.4,0.4,1.2,2572615669.342607,0.006135186360286474,3380517.033200173,423316.0755958428,412144.26642261137,0.05642179524092814,1.2237037037037035,1860.46875,251.9211,18.402955590721522,1,1,0.045,3.078278478824067,4.6174177182361005,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",59671037.23888654,21616919.3449356,31325389.594092365,1897017581.9500349,6061767.727857699,386637219.3765126,17148332.506319422,101415510.99600519,51721910.60796265,477.6125777021106,0.0,-11364.921963732802,28572.650279261365,-1090.5884025637883,-23747.275255611545,0.0,0.0,-10424.408752057077,27853.874739171577,0.0,0.0,0.17,4.263346668145125e-05,0.0001880888235946378,0.0,0.00023072229027608902,0.19670808171832374,0.006880232617668375,35205786.83631973,74099854.94950911,13836419.999282565,69579997.65612295,2746843.154431918
L1,5905.058106677986,5430.058106677986,303.00036811785145,726.9022236473596,340.4481961815035,237.9992385644281,532.5469040977315,521.1395866488182,2228.145215889851,539.876373530443,10,1.7,0.6,2000.0,83.33,104.17,45,2,30.5,5,0.4546065494115993,1.1164884771761425,1.8035583092845378,0.09976700141137089,1.5054738093395135,3.3438889418983426,0.13611758045842573,1.5,0.023777858960804404,0.01491092762977812,5.17,1.11,0.780952380952381,8.416605443327843,15.604815062192264,8.0,11.0,8.854905898581984,22.137295738656597,30.99220163723858,0.285714,0.714286,1.5029652577371149,2.0265993587262683,0.601186103094846,0.8106397434905074,0.05531675959561737,0.1,0.1,0.04070636998522777,-0.209,0.4,0.4,1.2,2699498076.4234233,0.0059059976716624805,3647977.106541727,456808.0377760608,428097.68046401115,0.058703049531694626,1.2237037037037035,1860.46875,251.9211,19.118901754820566,1,1,0.045,3.078278478824067,4.6174177182361005,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",64392096.13003818,23327208.85882742,33803794.7954285,1970447954.2595975,6541363.252787647,417227220.265555,18505075.934848677,109439313.19625181,55814049.73008843,477.6125777021106,0.0,-11364.921963732802,28572.650279261365,-1090.5884025637883,-23747.275255611545,0.0,0.0,-10424.408752057077,27853.874739171577,0.0,0.0,0.17,4.263346668145125e-05,0.0001880888235946378,0.0,0.00023072229027608902,0.19670808171832374,0.006880232617668375,35205786.83631973,74099854.94950911,13836419.999282565,69579997.65612295,2746843.154431918
