name,mtom,oem,wing1_weight,wing2_weight,fuselage_weight,lg_weight,powertrain_weight,nacelle_weight,h2_weight,misc_weight,l_fuse,w_fuse,eff,diskloading,v_cruise,v_max,v_stall,loadfactor,h_hover,roc,cL_cruise,mac1,y_mac1,x_lemac1,mac2,y_mac2,x_lemac2,cLmax,cd,cd0,clalpha,cm,e,b1,b2,A1,A2,S1,S2,S,S1/S,S2/S,c_root1,c_root2,c_tip1,c_tip2,sweep_le1,sweep_le2,sweep1_1/4,sweep2_1/4,sweep_m,taper1,taper2,StotS,mission_energy,power_hover,power_climb,power_cruise,WP_hover,WP_cruise,TW,WS,ld_climb,ld_cr,ducted_bool,tandem_bool,G,n_max,n_ult,A_tot,l_cockpit,l_cabin,l_tail,l_fuselage,d_fuselage,upsweep,h_wings,x_rotor_loc,y_rotor_loc,takeoff_energy,trans2hor_energy,climb_energy,cruise_energy,descend_energy,hor_loiter_energy,trans2ver_energy,ver_loiter_energy,land_energy,Vx_cr,Vy_cr,Vz_cr,Mx_cr,Mz_cr,T_cr,Vx_vf,Vy_vf,Vz_vf,Mx_vf,Mz_vf,T_vf,thickness_to_chord,i_xx,i_zz,i_xz,j_y,area_enclosed,area,max_shear_cr,max_axial_cr,max_shear_vf,max_axial_vf,crit_buck_stress,depsda,diskarea,cl_alpha1,cl_alpha2,alpha
W1,2900.748605781066,2425.748605781066,301.08294561726,328.71789259545557,297.265454057186,119.0807921559895,115.21737044035474,117.73938403117384,628.4423977874648,297.6797685706298,10.74,1.38,0.8,200.0,83.33,104.17,45,2,30.5,5,0.4318762219410193,0.9777308613614808,1.875551027323225,0.08788478193633377,0.9529741630263279,1.9242747522647003,0.08582741437839225,1.5,0.027890417054555652,0.019580486358028257,5.15,-2.56,0.7327683397111365,8.752571460841716,8.979948843901933,9.5,10,8.063948123909569,8.063948123909569,16.127896247819137,0.5,0.5,1.3161761595250703,1.2828498348431336,0.5264704638100282,0.5131399339372534,0.04685811297907602,0.044602473881331664,0.1,0.1,-0.36837,0.4,0.4,1.2,996007427.498846,806521.5930824832,151195.10993997622,169991.01226487762,0.014571392448829872,0.061290481434256895,1.2249512670565301,1767.4453125,221.6754,15.484753099827747,0,1,0.045,3.1791986492810644,4.768797973921597,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",14236277.924987232,5408353.956558453,11188438.13555824,782434611.6446785,2642245.226283198,139422346.42901745,4139726.015126599,24195647.792474493,12339780.374161992,501.49669010724557,0.0,-6370.932572819003,12305.819653227862,-601.9455727576116,32552.8842674665,0.0,0.0,-6369.615706865474,19320.30365938326,0.0,0.0,0.17,1.9910095213005538e-05,8.783865535149498e-05,0.0,0.00010774875056450054,0.11780734978671974,0.005329915401070751,56576115.32755921,53567501.44561178,10946865.347035557,80179672.9398335,4563367.054008208,0.1,14.533594358774035,4.996018735495839,5.046546070471624,4.76895509946015
W1,3269.215963905741,2794.215963905741,328.9153259678838,359.1048724890379,309.0956869216293,133.485312009237,155.62961028143908,159.03621460475904,767.1439379415758,327.78537060783907,10.74,1.38,0.8,288.8888888888889,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.0365285009585659,1.9883407302041718,0.09316989457680559,1.0102830131376261,2.0399945457586686,0.09098880344526004,1.5,0.026700532970291894,0.01841837196662917,5.15,-2.56,0.7352252771850316,9.278923407619468,9.519974546873785,9.5,10,9.062991537312472,9.062991537312472,18.125983074624944,0.5,0.5,1.395326828213454,1.3599963638391122,0.5581307312853817,0.5439985455356449,0.04685811297907602,0.04460247388133165,0.1,0.1,-0.36837,0.4,0.4,1.2,1134132063.0459926,1089407.2719700737,176414.86811374038,189883.97789960046,0.013744822334412696,0.06342802465786886,1.2249512670565301,1767.4453125,221.6754,16.174816526005024,0,1,0.045,3.1791986492810644,4.768797973921597,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",19229621.166115507,7166264.264135862,13054700.240416788,873997951.5735698,3082978.9621103634,162678375.42595062,5572021.993449437,32682218.15910221,16667931.26114213,501.49669010724557,0.0,-6370.932572819003,12305.819653227862,-601.9455727576116,32552.8842674665,0.0,0.0,-6369.615706865474,19320.30365938326,0.0,0.0,0.17,1.9910095213005538e-05,8.783865535149498e-05,0.0,0.00010774875056450054,0.11780734978671974,0.005329915401070751,56576115.32755921,53567501.44561178,10946865.347035557,80179672.9398335,4563367.054008208,0.1,11.30826665803706,4.996018735495839,5.046546070471624,4.76895509946015
W1,3714.1384264116314,3239.1384264116314,361.99648616736744,395.22239234089477,322.79258395118785,151.12092952693635,201.98797851231348,206.40932943399457,940.8701969675137,364.2713998376387,10.74,1.38,0.8,377.77777777777777,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.104260410694526,2.118268768591903,0.09925807727872764,1.0762999126153827,2.1732979004733695,0.09693446284221637,1.5,0.025559924912659883,0.0173062436792703,5.15,-2.56,0.7377622114815165,9.88525425342888,10.142056868875724,9.5,10,10.286131753150922,10.286131753150922,20.572263506301844,0.5,0.5,1.4865043990118618,1.448865266982246,0.5946017596047447,0.5795461067928984,0.04685811297907602,0.04460247388133164,0.1,0.1,-0.36837,0.4,0.4,1.2,1297736895.2907193,1413915.8495861944,207137.01928280553,213427.56156280614,0.012901757549444339,0.06569456934393987,1.2249512670565301,1767.4453125,221.6754,16.896615440646702,0,1,0.045,3.1791986492810644,4.768797973921597,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",24957669.04432392,9191786.091291126,15328139.42692761,982364355.7428707,3619871.0434735725,191008355.1788574,7216330.77672044,42417475.48758583,21632912.498668775,501.49669010724557,0.0,-6370.932572819003,12305.819653227862,-601.9455727576116,32552.8842674665,0.0,0.0,-6369.615706865474,19320.30365938326,0.0,0.0,0.17,1.9910095213005538e-05,8.783865535149498e-05,0.0,0.00010774875056450054,0.11780734978671974,0.005329915401070751,56576115.32755921,53567501.44561178,10946865.347035557,80179672.9398335,4563367.054008208,0.1,9.814563296501145,4.996018735495839,5.046546070471624,4.76895509946015
W1,4204.255733190717,3729.255733190718,397.4816420194,433.9645589760307,337.10716665105343,170.62158860532705,254.0155327123723,259.57572405618885,1133.2471881914607,404.21908350700136,10.74,1.38,0.8,466.66666666666663,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.1746170070288793,2.2532316625217446,0.1055821838104752,1.1448750401425511,2.3117669079801515,0.10311052313291157,1.5,0.024578069298048188,0.01635063305260059,5.15,-2.56,0.7401156250804488,10.51508109176814,10.78824557057404,9.5,10,11.638624249101039,11.638624249101039,23.277248498202077,0.5,0.5,1.5812152017696453,1.5411779386534343,0.6324860807078582,0.6164711754613738,0.04685811297907602,0.044602473881331664,0.1,0.1,-0.36837,0.4,0.4,1.2,1480084008.4831543,1778108.7289866062,241768.72786785022,239541.6827953728,0.012128974810493555,0.0677976093954401,1.2249512670565301,1767.4453125,221.6754,17.57160892923822,0,1,0.045,3.1791986492810644,4.768797973921597,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",31386202.506930634,11465772.563172791,17890885.862220917,1102562429.9399204,4225085.502613107,222943475.79016387,9061830.895038968,53343261.86959819,27205063.553495076,501.49669010724557,0.0,-6370.932572819003,12305.819653227862,-601.9455727576116,32552.8842674665,0.0,0.0,-6369.615706865474,19320.30365938326,0.0,0.0,0.17,1.9910095213005538e-05,8.783865535149498e-05,0.0,0.00010774875056450054,0.11780734978671974,0.005329915401070751,56576115.32755921,53567501.44561178,10946865.347035557,80179672.9398335,4563367.054008208,0.1,8.989802928052086,4.996018735495839,5.046546070471624,4.76895509946015
W1,4751.698881198528,4276.698881198528,436.09324895941256,476.1201385191497,352.3022489149203,192.48404837674832,313.26168044995023,320.1187212985487,1348.933851376546,448.5941359215683,10.74,1.38,0.8,555.5555555555555,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.2487905562696304,2.3955164997672242,0.11224938278933333,1.2171704731699675,2.457748070823973,0.10962164413581954,1.5,0.02371659553657207,0.015513746875927934,5.15,-2.56,0.7423340806985976,11.179076998913711,11.46949099717854,9.5,10,13.154922373435957,13.154922373435957,26.309844746871914,0.5,0.5,1.6810642103629643,1.6384987138826486,0.6724256841451858,0.6553994855530595,0.04685811297907602,0.044602473881331664,0.1,0.1,-0.36837,0.4,0.4,1.2,1685808186.3824615,2192831.7631496517,281215.42173252656,268859.06696960115,0.011408558479805247,0.06977066159542407,1.2249512670565301,1767.4453125,221.6754,18.209874232372286,0,1,0.045,3.1791986492810644,4.768797973921597,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",38706666.617102675,14055314.565232135,20809941.208206967,1237504482.4353611,4914445.354250992,259318664.24476185,11163393.08686654,65784952.89448955,33550325.976189673,501.49669010724557,0.0,-6370.932572819003,12305.819653227862,-601.9455727576116,32552.8842674665,0.0,0.0,-6369.615706865474,19320.30365938326,0.0,0.0,0.17,1.9910095213005538e-05,8.783865535149498e-05,0.0,0.00010774875056450054,0.11780734978671974,0.005329915401070751,56576115.32755921,53567501.44561178,10946865.347035557,80179672.9398335,4563367.054008208,0.1,8.535247121782744,4.996018735495839,5.046546070471624,4.76895509946015
W1,5439.096194217479,4964.096194217479,482.8561319834378,527.1751603432226,370.2509223755389,219.80331000000467,385.9893776732781,394.43836807015373,1628.7602217477897,503.5412298224646,10.74,1.38,0.8,644.4444444444445,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.3357006841505037,2.562233523923322,0.12006142794277509,1.3018799874635594,2.628796128532187,0.11725081066220266,1.5,0.0228822221491708,0.014704831779044813,5.15,-2.56,0.7446451549940099,11.957089778308836,12.267715266483538,9.5,10,15.049683785951329,15.049683785951329,30.099367571902658,0.5,0.5,1.7980586132795242,1.7525307523547915,0.7192234453118097,0.7010123009419167,0.046858112979076015,0.044602473881331664,0.1,0.1,-0.36837,0.4,0.4,1.2,1938798082.32302,2701925.6437129467,330406.913874844,304775.8355221617,0.010666237023971828,0.07178215428715169,1.2249512670565301,1767.4453125,221.6754,18.873875934146085,0,1,0.045,3.1791986492810644,4.768797973921597,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",47692913.27902945,17237953.941606067,24450111.626738455,1402822180.5861642,5774102.68932212,304679875.0772367,13743713.46272644,81057769.3113884,41339462.34880809,501.49669010724557,0.0,-6370.932572819003,12305.819653227862,-601.9455727576116,32552.8842674665,0.0,0.0,-6369.615706865474,19320.30365938326,0.0,0.0,0.17,1.9910095213005538e-05,8.783865535149498e-05,0.0,0.00010774875056450054,0.11780734978671974,0.005329915401070751,56576115.32755921,53567501.44561178,10946865.347035557,80179672.9398335,4563367.054008208,0.1,8.417772723849506,4.996018735495839,5.046546070471624,4.76895509946015
W1,6189.322511048393,5714.322511048393,531.8837037615017,580.7027357457988,388.6122898876155,249.3722342901608,467.8580230966488,478.0990508888457,1935.8171277694837,562.4934809675746,10.74,1.38,0.8,733.3333333333333,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.423801765248929,2.7312351169919364,0.12798052368442808,1.3877502993657282,2.80218810448849,0.12498452174102612,1.5,0.022184862424485266,0.014030212697948475,5.15,-2.56,0.7467217261084056,12.745763879295701,13.076877820946285,9.5,10,17.100473354395685,17.100473354395685,34.20094670879137,0.5,0.5,1.9166562224504815,1.8681254029923264,0.7666624889801926,0.7472501611969307,0.04685811297907602,0.04460247388133165,0.1,0.1,-0.36837,0.4,0.4,1.2,2218131316.154028,3275006.161676542,384896.0907265241,344217.89658647653,0.010006238535418419,0.07354956157196932,1.2249512670565301,1767.4453125,221.6754,19.467157996182152,0,1,0.045,3.1791986492810644,4.768797973921597,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",57808617.05819782,20816185.374612298,28482310.713762786,1584366094.703435,6726340.942778923,354926267.93123126,16647720.306062937,98250184.85029626,50107594.27365109,501.49669010724557,0.0,-6370.932572819003,12305.819653227862,-601.9455727576116,32552.8842674665,0.0,0.0,-6369.615706865474,19320.30365938326,0.0,0.0,0.17,1.9910095213005538e-05,8.783865535149498e-05,0.0,0.00010774875056450054,0.11780734978671974,0.005329915401070751,56576115.32755921,53567501.44561178,10946865.347035557,80179672.9398335,4563367.054008208,0.1,8.405470167068769,4.996018735495839,5.046546070471624,4.76895509946015
W1,6995.733181299024,6520.733181299024,583.4231658851832,636.9727557566189,407.4833045722079,281.4136768497857,559.7817303517365,572.034892582775,2260.9570377660734,625.8726919620053,10.74,1.38,0.8,822.2222222222222,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.5134912009429513,2.9032836018088344,0.13604239102385712,1.4751687478268884,2.978706125419679,0.13285766215919387,1.5,0.021593245416626758,0.013459112188550807,5.15,-2.56,0.7486051615913036,13.548656808441226,13.900628585291834,9.5,10,19.322747506623244,19.322747506623244,38.64549501324649,0.5,0.5,2.0373920012693576,1.9858040836131192,0.8149568005077431,0.7943216334452478,0.04685811297907602,0.044602473881331664,0.1,0.1,-0.36837,0.4,0.4,1.2,2526419919.9401674,3918472.1124621555,445204.4851415405,387534.7558829711,0.009413269189377745,0.07513818021911309,1.2249512670565301,1767.4453125,221.6754,20.00052394201362,0,1,0.045,3.1791986492810644,4.768797973921597,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",69166725.99070509,24829527.65142832,32945131.900474,1783744929.6768332,7780274.283024794,410538766.6558679,19907777.087298267,117554163.37386467,59952623.320670985,501.49669010724557,0.0,-6370.932572819003,12305.819653227862,-601.9455727576116,32552.8842674665,0.0,0.0,-6369.615706865474,19320.30365938326,0.0,0.0,0.17,1.9910095213005538e-05,8.783865535149498e-05,0.0,0.00010774875056450054,0.11780734978671974,0.005329915401070751,56576115.32755921,53567501.44561178,10946865.347035557,80179672.9398335,4563367.054008208,0.1,8.471005693649438,4.996018735495839,5.046546070471624,4.76895509946015
W1,8065.419105826052,7590.419105826052,649.7999164586736,709.4419071431901,431.2313989455809,324.0310898608992,679.4030054482719,694.2745791253583,2702.6920788860893,709.5070294283476,10.74,1.38,0.8,911.1111111111111,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.6251323630854881,3.1174414080341823,0.1460774217033155,1.5839830926087666,3.1984273985369325,0.14265777450457912,1.5,0.020984831048482783,0.012873164707352747,5.15,-2.56,0.75067857373935,14.548059904159517,14.925994526505685,9.5,10,22.278531260527767,22.278531260527767,44.557062521055535,0.5,0.5,2.1876781810766186,2.132284932357955,0.8750712724306475,0.852913972943182,0.04685811297907601,0.044602473881331664,0.1,0.1,-0.36837,0.4,0.4,1.2,2928709201.48847,4755821.038137903,524752.3625896064,443908.11671688274,0.00876660905526571,0.07685072464960448,1.2249512670565301,1767.4453125,221.6754,20.58040023973623,0,1,0.045,3.1791986492810644,4.768797973921597,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",83947151.12544824,30057471.33106837,38831674.83163088,2043220228.4206147,9170431.673244331,483892671.63110334,24150879.447712936,142674631.1441371,72764061.88350992,501.49669010724557,0.0,-6370.932572819003,12305.819653227862,-601.9455727576116,32552.8842674665,0.0,0.0,-6369.615706865474,19320.30365938326,0.0,0.0,0.17,1.9910095213005538e-05,8.783865535149498e-05,0.0,0.00010774875056450054,0.11780734978671974,0.005329915401070751,56576115.32755921,53567501.44561178,10946865.347035557,80179672.9398335,4563367.054008208,0.1,8.81394869340754,4.996018735495839,5.046546070471624,4.76895509946015
W1,9289.65621540769,8814.65621540769,722.080133167639,788.3563752616124,456.48669784769385,372.0538094104938,818.1847171012026,836.0941084407483,3217.060491729735,803.0074992296837,10.74,1.38,0.8,1000.0,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.7423825958251287,3.342358921799166,0.15661663197428802,1.698264483148193,3.4291878986646203,0.15295026368436737,1.5,0.0204623631127286,0.012371277635198628,5.15,-2.56,0.7525880348835348,15.597674968396106,16.002876860434892,9.5,10,25.609206781024255,25.609206781024255,51.21841356204851,0.5,0.5,2.3455150328415195,2.286125265776414,0.9382060131366079,0.9144501063105657,0.046858112979076015,0.04460247388133167,0.1,0.1,-0.36837,0.4,0.4,1.2,3388556912.3502274,5727293.019708418,615926.8176740753,508063.63068900484,0.008176677225981926,0.0783685085472799,1.2249512670565301,1767.4453125,221.6754,21.105882031404818,0,1,0.045,3.1791986492810644,4.768797973921597,7.84,2.103,3.25,3.942,9.295,1.7,0.1745,0.3,"[1.19, 1.19, 1.19, 1.19, 1.19, 1.19, 9.55, 9.55, 9.55, 9.55, 9.55, 9.55]","[4.2, 2.99, 1.78, -1.78, -2.99, -4.2, 4.2, 2.99, 1.78, -1.78, -2.99, -4.2]",101095043.06609404,36117229.86160372,45578584.50788157,2338515220.731297,10763772.018719442,567967854.1374038,29072834.23443612,171818790.59125254,87627583.2015388,501.49669010724557,0.0,-6370.932572819003,12305.819653227862,-601.9455727576116,32552.8842674665,0.0,0.0,-6369.615706865474,19320.30365938326,0.0,0.0,0.17,1.9910095213005538e-05,8.783865535149498e-05,0.0,0.00010774875056450054,0.11780734978671974,0.005329915401070751,56576115.32755921,53567501.44561178,10946865.347035557,80179672.9398335,4563367.054008208,0.1,9.231056983162352,4.996018735495839,5.046546070471624,4.76895509946015
